name,title_verbatim,team,employer,personal_url,evidence_url,notes
Philippe Caillou,Enseignant-chercheur,A&O,Université Paris-Saclay,http://www.lri.fr/~caillou,https://www.lisn.upsaclay.fr/membres/caillou-philippe/,
Olivier Chapuis,Responsable département Interaction avec l'Humain,ILDA,CNRS,,https://www.lisn.upsaclay.fr/membres/chapuis-olivier/,Fonction affichée sur la fiche annuaire concerne un rôle de projet/direction; personne confirmée chercheur·se permanent·e par ailleurs.
Guillaume Charpiat,Chercheur,A&O,Inria,https://www.lri.fr/~gcharpia/,https://www.lisn.upsaclay.fr/membres/charpiat-guillaume/,
Philippe Chatalic,Maître de conférence,LaHDAK,Université Paris-Saclay,http://www.lri.fr/~chatalic,https://www.lisn.upsaclay.fr/membres/chatalic-philippe/,
Sylvain Chevallier,Professeur,A&O,Université Paris-Saclay,https://sylvchev.github.io/,https://www.lisn.upsaclay.fr/membres/chevallier-sylvain/,
Sergio Chibbaro,Professeur,"A&O, DATAFLOT",Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/chibbaro-sergio/,
Céline Clavel,Enseignante-chercheuse,CPU,Université Paris-Saclay,https://clavelcel.wixsite.com/monsite,https://www.lisn.upsaclay.fr/membres/clavel-celine/,
Johanne Cohen,Directrice de Recherche,GALaC,CNRS,http://www.lri.fr/~jcohen,https://www.lisn.upsaclay.fr/membres/cohen-johanne/,
Sarah Cohen-Boulakia,Professeure à l'Université Paris-Saclay,BioInfo,Université Paris-Saclay,https://sarah.cohen-boulakia.eu/,https://www.lisn.upsaclay.fr/membres/cohen-boulakia-sarah/,
Sylvie Delaet,Enseignante-chercheuse,GALaC,Université Paris-Saclay,http://www.lri.fr/~delaet,https://www.lisn.upsaclay.fr/membres/delaet-sylvie/,
Nathalie Delprat,Enseignante-chercheuse,AMI,Sorbonne Université,,https://www.lisn.upsaclay.fr/membres/delprat-nathalie/,
Virginie Demulier,Enseignante-chercheuse,CPU,Université Paris-Saclay,https://perso.limsi.fr/wiki/doku.php/demulier/accueil,https://www.lisn.upsaclay.fr/membres/demulier-virginie/,
Alain Denise,Professeur,BioInfo,Université Paris-Saclay,http://www.lri.fr/~denise/,https://www.lisn.upsaclay.fr/membres/denise-alain/,
Laurence Devillers,Professeure à Sorbonne Université PR1,M3,Sorbonne Université,,https://www.lisn.upsaclay.fr/membres/devillers-laurence/,
Selma Djelloul,Enseignante-chercheuse,GALaC,Université Paris-Saclay (IUT de Fontainebleau),http://www.lri.fr/~djelloul/,https://www.lisn.upsaclay.fr/membres/djelloul-selma/,
Bich-Liên Doan,"Professeure, HDR",A&O,CentraleSupélec,https://www.linkedin.com/in/bich-li%C3%AAn-doan-3897536/,https://www.lisn.upsaclay.fr/membres/doan-bich-lien/,
Yohann Duguet,Chargé de Recherche CNRS,DATAFLOT,CNRS,https://perso.limsi.fr/duguet/,https://www.lisn.upsaclay.fr/membres/duguet-yohann/,
Marc Evrard,Maitre de conférences,M3,Université Paris-Saclay,https://marcevrard.github.io/,https://www.lisn.upsaclay.fr/membres/evrard-marc/,
Ève Fabre,Chercheuse,CPU,,,https://www.lisn.upsaclay.fr/membres/fabre-eve/,
Joël Falcou,Enseignant-chercheur HDR,ParSys,Université Paris-Saclay,https://perso.lisn.upsaclay.fr/falcou/index.html,https://www.lisn.upsaclay.fr/membres/falcou-joel/,
Eva Feillet,Maîtresse de Conférences,SEME,Université Paris-Saclay,https://evajf.github.io/,https://www.lisn.upsaclay.fr/membres/feillet-eva/,
Jean-Daniel Fekete,Responsable de l'équipe Aviz,AVIZ,Inria,https://www.aviz.fr/~fekete,https://www.lisn.upsaclay.fr/membres/fekete-jean-daniel/,
Nicolas Ferey,Maître de Conférences,VENISE,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/ferey-nicolas/,
Michael Filhol,Chargé de recherche CNRS,LIPS,CNRS,,https://www.lisn.upsaclay.fr/membres/filhol-michael/,
Daniel Filonik,Chercheur,ARAI,,,https://www.lisn.upsaclay.fr/membres/filonik-daniel/,
Francesca Fiorenzi,Enseignante-chercheuse,GALaC,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/fiorenzi-francesca/,
Jules Francoise,Chercheur,AMI,CNRS,https://www.julesfrancoise.com,https://www.lisn.upsaclay.fr/membres/francoise-jules/,
Emmanuelle Frenoux,Enseignante-chercheuse,AMI,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/frenoux-emmanuelle/,
Cyril Furtlehner,Chercheur,A&O,Inria,http://pages.saclay.inria.fr/cyril.furtlehner/,https://www.lisn.upsaclay.fr/membres/furtlehner-cyril/,
Jean-Luc Gauvain,Chercheur émérite,LIPS,,,https://www.lisn.upsaclay.fr/membres/gauvain-jean-luc/,Statut émérite (organigramme LISN 01/09/2025).
Thomas Gérald,Chercheur,SEME,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/gerald-thomas/,
Cecile Germain,Professeure émérite,A&O,,http://www.lri.fr/~cecile/communications-english.html,https://www.lisn.upsaclay.fr/membres/germain-cecile/,
Céline Gicquel,Maitresse de conférences HDR,ROCS,Université Paris-Saclay,http://celine-gicquel.e-monsite.com/,https://www.lisn.upsaclay.fr/membres/gicquel-celine/,
Michèle Gouiffès,Professeur,LIPS,Université Paris-Saclay,https://perso.limsi.fr/gouiffes/,https://www.lisn.upsaclay.fr/membres/gouiffes-michele/,
Nicolas Grenier,Maître de Conférence,COMET,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/grenier-nicolas/,
Cyril Grouin,Ingénieur de recherche HDR,SEME,CNRS,,https://www.lisn.upsaclay.fr/membres/grouin-cyril/,"Titre annuaire = Ingénieur de recherche HDR, mais responsable de l'équipe SEME (organigramme LISN 01/09/2025) -> inclus au titre de responsable d'équipe."
Ouriel Grynszpan,Responsable adjoint du département Interaction avec l'Humain,AMI,Université Paris-Saclay,https://perso.limsi.fr/grynszpan/,https://www.lisn.upsaclay.fr/membres/grynszpan-ouriel/,
Camille Guinaudeau,Maîtresse de Conférences,LIPS,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/guinaudeau-camille/,
Thierry Hamon,Enseignant-chercheur,SEME,Université Sorbonne Paris Nord,,https://www.lisn.upsaclay.fr/membres/hamon-thierry/,
Benjamin Hellouin de Menibus,Maître de conférences,GALaC,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/hellouin-de-menibus-benjamin/,
Florent Hivert,Professeur,GALaC,Université Paris-Saclay,https://www.lri.fr/~hivert/,https://www.lisn.upsaclay.fr/membres/hivert-florent/,
Gabriel Illouz,Enseignant-chercheur,SEME,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/illouz-gabriel/,
Petra Isenberg,DR2,AVIZ,Inria,http://petra.isenberg.cc/,https://www.lisn.upsaclay.fr/membres/isenberg-petra/,
Tobias Isenberg,Directeur de Recherche,AVIZ,Inria,http://tobias.isenberg.cc/,https://www.lisn.upsaclay.fr/membres/isenberg-tobias/,
Flora Jay,Chercheuse,BioInfo,CNRS,http://flora-jay.blogspot.fr/,https://www.lisn.upsaclay.fr/membres/jay-flora/,
Damir Juric,Chercheur,COMET,CNRS,,https://www.lisn.upsaclay.fr/membres/juric-damir/,
Oguz Kaya,Maître de Conférences,ParSys,Université Paris-Saclay,http://kayaogz.github.io/,https://www.lisn.upsaclay.fr/membres/kaya-oguz/,
Kinda Khawam,Enseignant Chercheur,ROCS,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/khawam-kinda/,
Hoang La,Enseignant-Chercheur,GALaC,Université Paris-Saclay,https://hoang-la-e7596d.gitpages.iut-orsay.fr/,https://www.lisn.upsaclay.fr/membres/la-hoang/,
Lori Lamel,Direcrtrice de recherche,LIPS,CNRS,,https://www.lisn.upsaclay.fr/membres/lamel-lori/,
François Landes,Enseignant-chercheur,A&O,Université Paris-Saclay,https://www.lri.fr/~flandes/,https://www.lisn.upsaclay.fr/membres/landes-francois/,
Thomas Lavergne,Maître de conférences,M3,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/lavergne-thomas/,
Nadjib Lazaar,Enseignant-chercheur,LaHDAK,Université Paris-Saclay,https://perso.lisn.upsaclay.fr/lazaar/,https://www.lisn.upsaclay.fr/membres/lazaar-nadjib/,
Chloé Le Bail,Maîtresse de conférences en Ergonomie,CPU,Université Paris-Saclay,https://perso.lisn.upsaclay.fr/wiki/fr/lebail/start,https://www.lisn.upsaclay.fr/membres/le-bail-chloe/,
Patrick Le Quéré,Chercheur émérite,COMET,,https://cv.hal.science/patrick-le-quere,https://www.lisn.upsaclay.fr/membres/le-quere-patrick/,Statut émérite (organigramme LISN 01/09/2025).
Hao Li,Chercheur,GALaC,CNRS,http://www.lri.fr/~li/,https://www.lisn.upsaclay.fr/membres/li-hao/,
Vincent Liard,Enseignant-chercheur,BioInfo,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/liard-vincent/,
Jean-Sylvain Lienard,Chercheur émérite,M3,,,https://www.lisn.upsaclay.fr/membres/lienard-jean-sylvain/,Statut émérite (organigramme LISN 01/09/2025).
Anne-Laure Ligozat,Professeure,SEME,ENSIIE,https://perso.limsi.fr/annlor/,https://www.lisn.upsaclay.fr/membres/ligozat-anne-laure/,
Didier Lucor,Chercheur,DATAFLOT,CNRS,https://perso.lisn.upsaclay.fr/lucor/,https://www.lisn.upsaclay.fr/membres/lucor-didier/,
François Lusseyran,Chercheur émérite,DATAFLOT,,,https://www.lisn.upsaclay.fr/membres/lusseyran-francois/,Statut émérite (organigramme LISN 01/09/2025).
Yue Ma,Enseignante-chercheuse,LaHDAK,Université Paris-Saclay,https://www.lri.fr/~ma,https://www.lisn.upsaclay.fr/membres/ma-yue/,
Wendy Mackay,Research Director,EX-SITU,Inria,https://ex-situ.lri.fr/people/mackay/,https://www.lisn.upsaclay.fr/membres/mackay-wendy/,
Dominique Marcadet,Professeur,PERMENT,,,https://www.lisn.upsaclay.fr/membres/marcadet-dominique/,
Joseph Mariani,Directeur de Recherche Emérite,M3,,https://perso.limsi.fr/mariani/,https://www.lisn.upsaclay.fr/membres/mariani-joseph/,Statut émérite (organigramme LISN 01/09/2025).
Jean-Claude Martin,Professeur en Informatique / Interaction Humain-Machine,CPU,Université Paris-Saclay,https://docs.google.com/document/d/1zKQPqYcEZbcHI7dyf1EJpUQrRT36AWJTQoZ0E6jT8qw/edit?usp=sharing,https://www.lisn.upsaclay.fr/membres/martin-jean-claude/,
Steven Martin,Professeur,ROCS,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/martin-steven/,
Julien Mille,Chercheur,A&O,,,https://www.lisn.upsaclay.fr/membres/mille-julien/,
Nona Naderi,Chaire de Professeur Junior,SEME,Université Paris-Saclay,https://perso.lisn.upsaclay.fr/wiki/en/naderi/start,https://www.lisn.upsaclay.fr/membres/naderi-nona/,
Aurélie Névéol,Directrice de Recherche,SEME,CNRS,https://perso.limsi.fr/neveol/,https://www.lisn.upsaclay.fr/membres/neveol-aurelie/,
Huyen Nguyen,Maîtresse de Conférences,ARAI,Université Paris-Saclay,https://sites.google.com/site/huyenn9uyen,https://www.lisn.upsaclay.fr/membres/nguyen-huyen/,
Caroline Nore,Professeure des Universités,COMET,Université Paris-Saclay,https://perso.limsi.fr/nore/,https://www.lisn.upsaclay.fr/membres/nore-caroline/,
Lucas Ondel Yang,Chargé de Recherche,M3,CNRS,,https://www.lisn.upsaclay.fr/membres/ondel-yang-lucas/,
Pierre-Henri Paris,Maître de Conférences,LaHDAK,Université Paris-Saclay,https://phparis.net,https://www.lisn.upsaclay.fr/membres/paris-pierre-henri/,
Ami Paz,Chercheur,ParSys,CNRS,,https://www.lisn.upsaclay.fr/membres/paz-ami/,
Stéphanie Pellerin,Enseignante-chercheuse,DATAFLOT,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/pellerin-stephanie/,
Chi-Tuong Pham,Maître de Conférence,COMET,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/pham-chi-tuong/,
Adeline Pierrot,Enseignante-chercheuse,BioInfo,Université Paris-Saclay,http://www.lri.fr/~pierrot,https://www.lisn.upsaclay.fr/membres/pierrot-adeline/,
Emmanuel Pietriga,Directeur de Recherche Inria,ILDA,Inria,http://pages.saclay.inria.fr/emmanuel.pietriga/,https://www.lisn.upsaclay.fr/membres/pietriga-emmanuel/,
François Pirot,Enseignant-chercheur,GALaC,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/pirot-francois/,
Viviane Pons,Enseignante-chercheuse,GALaC,Université Paris-Saclay,https://www.lri.fr/~pons/,https://www.lisn.upsaclay.fr/membres/pons-viviane/,
Fabrice Popineau,Enseignant-chercheur @ CentraleSupélec,LaHDAK,CentraleSupélec,http://fabrice.popineau.net,https://www.lisn.upsaclay.fr/membres/popineau-fabrice/,
Fanny Pouyet,Enseignante-chercheuse,BioInfo,Université Paris-Saclay,https://sites.google.com/view/fannypouyet/home,https://www.lisn.upsaclay.fr/membres/pouyet-fanny/,
Élise Prigent,Maîtresse de conférences,CPU,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/prigent-elise/,
Arnaud Prouzeau,Chercheur,ILDA,Inria,,https://www.lisn.upsaclay.fr/membres/prouzeau-arnaud/,
Dominique Quadri,Professeure des universités,ROCS,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/quadri-dominique/,
Gianluca Quercini,Enseignant-chercheur,LaHDAK,CentraleSupélec,https://gquercini.github.io/,https://www.lisn.upsaclay.fr/membres/quercini-gianluca/,
Joe Raad,Maître de conférences,LaHDAK,Université Paris-Saclay,https://joe-raad.com,https://www.lisn.upsaclay.fr/membres/raad-joe/,
Brian Ravenet,Maître de Conférences en Informatique / Interaction Humain-Machine,CPU,Université Paris-Saclay,https://brianrave.net,https://www.lisn.upsaclay.fr/membres/ravenet-brian/,
Albert Rilliard,Chercheur CNRS,M3,CNRS,,https://www.lisn.upsaclay.fr/membres/rilliard-albert/,
Arpad Rimmel,Enseignant-chercheur,GALaC,CentraleSupélec,,https://www.lisn.upsaclay.fr/membres/rimmel-arpad/,
Laurent Rosaz,Enseignant-chercheur,ParSys,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/rosaz-laurent/,
Sophie Rosset,Directrice de Recherche,LIPS,CNRS,https://perso.lisn.upsaclay.fr/wiki/rosset/start,https://www.lisn.upsaclay.fr/membres/rosset-sophie/,
Nicolas Sabouret,Professeur,CPU,Université Paris-Saclay,https://perso.limsi.fr/sabouret/,https://www.lisn.upsaclay.fr/membres/sabouret-nicolas/,
Fatiha Saïs,Responsable de l'équipe LaHDAK au LISN,LaHDAK,Université Paris-Saclay,https://perso.lisn.upsaclay.fr/sais/,https://www.lisn.upsaclay.fr/membres/sais-fatiha/,
Christian Sandor,Responsable de ARAI,ARAI,Université Paris-Saclay,https://drsandor.net/,https://www.lisn.upsaclay.fr/membres/sandor-christian/,Fonction affichée sur la fiche annuaire concerne un rôle de projet/direction; personne confirmée chercheur·se permanent·e par ailleurs.
Agata Savary Chrobot,Professeure,SEME,Université Paris-Saclay,https://perso.lisn.upsaclay.fr/savary/,https://www.lisn.upsaclay.fr/membres/savary-agata/,
Marc Schoenauer,Directeur de Recherche émérite,A&O,,http://www.lri.fr/~marc,https://www.lisn.upsaclay.fr/membres/schoenauer-marc/,Statut émérite (organigramme LISN 01/09/2025).
Nacéra Seghouani,Professeure CentraleSupélec - Département Informatique,LaHDAK,CentraleSupélec,https://wdi.centralesupelec.fr/seghouani/,https://www.lisn.upsaclay.fr/membres/seghouani-nacera/,
Anne Sergent,Professeure des Universités,COMET,Sorbonne Université,https://perso.lisn.upsaclay.fr/sergent/,https://www.lisn.upsaclay.fr/membres/sergent-anne/,
Nicolas Spyratos,Professeur émérite,A&O,,http://www.lri.fr/~spyratos/,https://www.lisn.upsaclay.fr/membres/spyratos-nicolas/,Statut émérite (organigramme LISN 01/09/2025).
Nicolas Thiery,Enseignant-Chercheur,GALaC,Université Paris-Saclay,http://Nicolas.Thiery.name,https://www.lisn.upsaclay.fr/membres/thiery-nicolas/,
Joanna Tomasik,Professeur,GALaC,CentraleSupélec,,https://www.lisn.upsaclay.fr/membres/tomasik-joanna/,
Ioana Vasilescu,Directrice de recherche (DR2),LIPS,CNRS,https://perso.lisn.upsaclay.fr/wiki/fr/ioana/start,https://www.lisn.upsaclay.fr/membres/vasilescu-ioana/,
Frédéric Vernier,Enseignant-chercheur,AVIZ,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/vernier-frederic/,
Stéphane Vialle,Professeur,ParSys,CentraleSupélec,https://sites.google.com/view/stephanevialle/accueil,https://www.lisn.upsaclay.fr/membres/vialle-stephane/,
Emmanuel Waller,Enseignant-chercheur,LaHDAK,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/waller-emmanuel/,
Marc-Antoine Weisser,Professeur,GALaC,CentraleSupélec,,https://www.lisn.upsaclay.fr/membres/weisser-marc-antoine/,
Matthew Wiesner,Chercheur,M3,,,https://www.lisn.upsaclay.fr/membres/wiesner-matthew/,
Tara Yahiya,Enseignante-chercheuse,ROCS,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/membres/yahiya-tara/,
Nicola Zema,Maître de conférences,ROCS,Université Paris-Saclay,https://www.lri.fr/~zema/,https://www.lisn.upsaclay.fr/membres/zema-nicola-roberto/,
Pierre Zweigenbaum,Directeur de recherche,SEME,CNRS,https://perso.lisn.upsaclay.fr/pz/,https://www.lisn.upsaclay.fr/membres/zweigenbaum-pierre/,
Matthieu Kowalski,"Chercheurs, enseignants-chercheurs",A&O,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/app/uploads/2025/09/Organigramme-septembre-1.pdf,Fiche annuaire LISN sans fonction renseignée; statut permanent confirmé par l'organigramme LISN du 01/09/2025.
Alena Shilova,"Chercheurs, enseignants-chercheurs",A&O,Inria,,https://www.lisn.upsaclay.fr/app/uploads/2025/09/Organigramme-septembre-1.pdf,Fiche annuaire LISN sans fonction renseignée; statut permanent confirmé par l'organigramme LISN du 01/09/2025.
Frédéric Gruau,"Chercheurs, enseignants-chercheurs",ParSys,Université Paris-Saclay,http://www.lri.fr/~gruau,https://www.lisn.upsaclay.fr/app/uploads/2025/09/Organigramme-septembre-1.pdf,Fiche annuaire LISN sans fonction renseignée; statut permanent confirmé par l'organigramme LISN du 01/09/2025.
Benoit Groz,"Chercheurs, enseignants-chercheurs",LaHDAK,Université Paris-Saclay,https://www.lri.fr/~groz/,https://www.lisn.upsaclay.fr/app/uploads/2025/09/Organigramme-septembre-1.pdf,Fiche annuaire LISN sans fonction renseignée; statut permanent confirmé par l'organigramme LISN du 01/09/2025.
Léo Planche,"Chercheurs, enseignants-chercheurs",BioInfo,Université Paris-Saclay,https://leoplanche.github.io/,https://www.lisn.upsaclay.fr/app/uploads/2025/09/Organigramme-septembre-1.pdf,Fiche annuaire LISN sans fonction renseignée; statut permanent confirmé par l'organigramme LISN du 01/09/2025.
Vanessa Pena-Araya,"Chercheurs, enseignants-chercheurs",ILDA,Inria,,https://www.lisn.upsaclay.fr/app/uploads/2025/09/Organigramme-septembre-1.pdf,Fiche annuaire LISN sans fonction renseignée; statut permanent confirmé par l'organigramme LISN du 01/09/2025.
Theophanis Tsandilas,"Chercheurs, enseignants-chercheurs",EX-SITU,Inria,http://www.lri.fr/~fanis,https://www.lisn.upsaclay.fr/app/uploads/2025/09/Organigramme-septembre-1.pdf,Fiche annuaire LISN sans fonction renseignée; statut permanent confirmé par l'organigramme LISN du 01/09/2025.
Lionel Mathelin,"Chercheurs, enseignants-chercheurs",DATAFLOT,CNRS,https://perso.limsi.fr/mathelin/,https://www.lisn.upsaclay.fr/app/uploads/2025/09/Organigramme-septembre-1.pdf,Fiche annuaire LISN sans fonction renseignée; statut permanent confirmé par l'organigramme LISN du 01/09/2025.
Onofrio Semeraro,"Chercheurs, enseignants-chercheurs",DATAFLOT,CNRS,https://www.linkedin.com/in/onofriosemeraro/,https://www.lisn.upsaclay.fr/app/uploads/2025/09/Organigramme-septembre-1.pdf,Fiche annuaire LISN sans fonction renseignée; statut permanent confirmé par l'organigramme LISN du 01/09/2025.
Sahar Ghannay,"Chercheurs, enseignants-chercheurs",LIPS,Université Paris-Saclay,https://saharghannay.github.io,https://www.lisn.upsaclay.fr/app/uploads/2025/09/Organigramme-septembre-1.pdf,Fiche annuaire LISN sans fonction renseignée; statut permanent confirmé par l'organigramme LISN du 01/09/2025.
Kim Gerdes,"Chercheurs, enseignants-chercheurs",M3,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/app/uploads/2025/09/Organigramme-septembre-1.pdf,Fiche annuaire LISN sans fonction renseignée; statut permanent confirmé par l'organigramme LISN du 01/09/2025.
Michèle Sebag,"Chercheurs, enseignants-chercheurs (Émérite)",A&O,,,https://www.lisn.upsaclay.fr/app/uploads/2025/09/Organigramme-septembre-1.pdf,Absent de l'annuaire en ligne du LISN au moment de la collecte; identifié via l'organigramme officiel du LISN du 01/09/2025.
Lin Chen,"Chercheurs, enseignants-chercheurs",GALaC,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/app/uploads/2025/09/Organigramme-septembre-1.pdf,Absent de l'annuaire en ligne du LISN au moment de la collecte; identifié via l'organigramme officiel du LISN du 01/09/2025.
Daniel Etiemble,"Chercheurs, enseignants-chercheurs (Émérite)",ParSys,,,https://www.lisn.upsaclay.fr/app/uploads/2025/09/Organigramme-septembre-1.pdf,Absent de l'annuaire en ligne du LISN au moment de la collecte; identifié via l'organigramme officiel du LISN du 01/09/2025.
Frédéric Gava,"Chercheurs, enseignants-chercheurs",ParSys,Université Paris-Est Créteil,,https://www.lisn.upsaclay.fr/app/uploads/2025/09/Organigramme-septembre-1.pdf,Absent de l'annuaire en ligne du LISN au moment de la collecte; identifié via l'organigramme officiel du LISN du 01/09/2025.
Alain Lambert,"Chercheurs, enseignants-chercheurs",ParSys,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/app/uploads/2025/09/Organigramme-septembre-1.pdf,Absent de l'annuaire en ligne du LISN au moment de la collecte; identifié via l'organigramme officiel du LISN du 01/09/2025.
Bogdan Cautis,"Chercheurs, enseignants-chercheurs",LaHDAK,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/app/uploads/2025/09/Organigramme-septembre-1.pdf,Absent de l'annuaire en ligne du LISN au moment de la collecte; identifié via l'organigramme officiel du LISN du 01/09/2025.
Brigitte Safar,"Chercheurs, enseignants-chercheurs",LaHDAK,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/app/uploads/2025/09/Organigramme-septembre-1.pdf,Absent de l'annuaire en ligne du LISN au moment de la collecte; identifié via l'organigramme officiel du LISN du 01/09/2025.
Khaldoun Al Agha,"Chercheurs, enseignants-chercheurs",ROCS,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/app/uploads/2025/09/Organigramme-septembre-1.pdf,Absent de l'annuaire en ligne du LISN au moment de la collecte; identifié via l'organigramme officiel du LISN du 01/09/2025.
Christine Froidevaux,"Chercheurs, enseignants-chercheurs (Émérite)",BioInfo,,,https://www.lisn.upsaclay.fr/app/uploads/2025/09/Organigramme-septembre-1.pdf,Absent de l'annuaire en ligne du LISN au moment de la collecte; identifié via l'organigramme officiel du LISN du 01/09/2025.
Michel Pons,"Chercheurs, enseignants-chercheurs (Émérite)",DATAFLOT,,,https://www.lisn.upsaclay.fr/app/uploads/2025/09/Organigramme-septembre-1.pdf,Absent de l'annuaire en ligne du LISN au moment de la collecte; identifié via l'organigramme officiel du LISN du 01/09/2025.
Anne Vilnat,"Chercheurs, enseignants-chercheurs (Émérite)",SEME,,,https://www.lisn.upsaclay.fr/app/uploads/2025/09/Organigramme-septembre-1.pdf,Absent de l'annuaire en ligne du LISN au moment de la collecte; identifié via l'organigramme officiel du LISN du 01/09/2025.
