name,title_verbatim,group_or_dept,primary_affiliation,personal_url,evidence_url,notes
Reinhard Heckel,"Prof. Dr., Core PI",Machine Learning and Information Processing,TU Munich,https://www.ce.cit.tum.de/mli/home/,https://mcml.ai/research/groups/heckel/,Bio: 'is Professor for Machine Learning at TU Munich.' MCML research area/group: Machine Learning and Information Processing.
Michael Hedderich,"Dr., JRG Leader Human-Centered NLP",AI and Computational Linguistics,LMU Munich,https://michael-hedderich.de,https://mcml.ai/research/groups/hedderich/,Bio: 'leads the MCML Junior Research Group ‘Human-Centered NLP' at LMU Munich.' MCML research area/group: AI and Computational Linguistics.
Lukas Heinrich,"Prof. Dr., Collaborating PI",Data Science in Physics,TU Munich,https://www.professoren.tum.de/en/heinrich-lukas,https://mcml.ai/research/groups/heinrich/,Bio: 'holds the Professorship for Data Science in Physics ... at the TU of Munich.' MCML research area/group: Data Science in Physics.
Valentin Hofmann,"Prof. Dr., Collaborating PI",Information and Language Processing Using AI Methods,LMU Munich,https://valentinhofmann.github.io/,https://mcml.ai/research/groups/hofmann/,Bio: 'a Junior Professor for Information and Language Processing Using AI Methods at LMU Munich.' MCML research area/group: Information and Language Processing Using AI Methods.
Eyke Hüllermeier,"Prof. Dr., Core PI",Artificial Intelligence and Machine Learning,LMU Munich,https://www.kiml.ifi.lmu.de/index.html,https://mcml.ai/research/groups/huellermeier/,Bio: 'heads the Chair of Artificial Intelligence and Machine Learning at LMU Munich.' MCML research area/group: Artificial Intelligence and Machine Learning.
Michael Ingrisch,"Prof. Dr., Core PI",Clinical Data Science in Radiology,LMU Munich,https://www.lmu-klinikum.de/radiologie/forschung/clinical-data-science/0e8a3ac188dad3f9,https://mcml.ai/research/groups/ingrisch/,Bio: 'leads the group for Clinical Data Science at the Department of Radiology at LMU Munich.' MCML research area/group: Clinical Data Science in Radiology.
Stefanie Jegelka,"Prof. Dr., Core PI",Foundations of Deep Neural Networks,TU Munich,https://www.professoren.tum.de/jegelka-stefanie,https://mcml.ai/research/groups/jegelka/,Bio: 'is a Humboldt Professor at TU Munich.' MCML research area/group: Foundations of Deep Neural Networks.
Enkelejda Kasneci,"Prof. Dr., Core PI",Human-Centered Technologies for Learning,TU Munich,https://www.edu.sot.tum.de/en/hctl/team/head/,https://mcml.ai/research/groups/kasneci-enkelejda/,Bio: 'is a Liesel Beckmann Distinguished Professor of Human-Centered Technologies for Learning at TU Munich.' MCML research area/group: Human-Centered Technologies for Learning.
Gjergji Kasneci,"Prof. Dr., Core PI",Responsible Data Science,TU Munich,https://www.gov.sot.tum.de/rds/prof-dr-gjergji-kasneci/,https://mcml.ai/research/groups/kasneci-gjergji/,Bio: 'is Professor of Responsible Data Science at TU Munich.' MCML research area/group: Responsible Data Science.
Göran Kauermann,"Prof. Dr., Core PI","Applied Statistics in Social Sciences, Economics and Business",LMU Munich,https://www.stat.lmu.de/sseb/en/people/contact-page/goeran-kauermann-efc7ff6b.html,https://mcml.ai/research/groups/kauermann/,"Bio: 'holds the Chair of Applied Statistics in Social Sciences, Economics and Business at LMU Munich.' MCML research area/group: Applied Statistics in Social Sciences, Economics and Business."
Christoph Kern,"Prof. Dr., Core PI",Social Data Science and AI,LMU Munich,https://www.stat.lmu.de/soda/en/team/contact-page/christoph-kern-11bd67d0.html,https://mcml.ai/research/groups/kern/,Bio: 'is Junior Professor of Social Data Science and Statistical Learning at LMU Munich.' MCML research area/group: Social Data Science and AI.
Niki Kilbertus,"Prof. Dr., Core PI",Ethics in Systems Design and Machine Learning,TU Munich,https://sites.google.com/view/nikikilbertus,https://mcml.ai/research/groups/kilbertus/,Bio: 'is Assistant Professor of Ethics in Systems Design and Machine Learning at TU Munich.' MCML research area/group: Ethics in Systems Design and Machine Learning.
Johannes Kinder,"Prof. Dr., Collaborating PI",Programming Languages and Artificial Intelligence,LMU Munich,https://www.plai.ifi.lmu.de/people/professors/kinder/index.html,https://mcml.ai/research/groups/kinder/,Bio: 'holds the Chair of Programming Languages and Artificial Intelligence at LMU Munich.' MCML research area/group: Programming Languages and Artificial Intelligence.
Almut Sophia Koepke,"Dr., JRG Leader Multi-Modal Learning",Computer Vision & Artificial Intelligence,TU Munich,https://akoepke.github.io/index.html,https://mcml.ai/research/groups/koepke/,Bio: 'leads the MCML Junior Research Group ‘Multi-Modal Learning' at TU Munich.' MCML research area/group: Computer Vision & Artificial Intelligence.
Frauke Kreuter,"Prof. Dr., Core PI",Social Data Science and AI,LMU Munich,https://www.stat.lmu.de/soda/en/team/contact-page/frauke-kreuter-825909f7.html,https://mcml.ai/research/groups/kreuter/,Bio: 'holds the Chair of Statistics and Data Science at LMU Munich.' MCML research area/group: Social Data Science and AI.
Gitta Kutyniok,"Prof. Dr., Core PI",Mathematical Foundations of Artificial Intelligence,LMU Munich,https://www.math.lmu.de/math4ai/en/members/contact-page/gitta-kutyniok-0eedf402.html,https://mcml.ai/research/groups/kutyniok/,Bio: 'holds the Chair for Mathematical Foundations of Artificial Intelligence at LMU Munich.' MCML research area/group: Mathematical Foundations of Artificial Intelligence.
Helmut Küchenhoff,"Prof. Dr., Core PI",Statistical Consulting Unit (StaBLab),LMU Munich,https://www.en.stablab.stat.uni-muenchen.de/index.html,https://mcml.ai/research/groups/kuechenhoff/,"Bio literally states 'is the former head of the Statistical Consulting Unit (StaBLab) at LMU Munich' -- unusual past-tense framing on a current-team page; institution (LMU Munich) recorded as stated, current specific role unclear from this page. MCML research area/group: Statistical Consulting Unit (StaBLab)."
Christian Kühn,"Prof. Dr., Collaborating PI",Multiscale and Stochastic Dynamics,TU Munich,https://www.multiscale.systems,https://mcml.ai/research/groups/kuehn/,Bio: 'leads the Multiscale and Stochastic Dynamics at TU Munich.' MCML research area/group: Multiscale and Stochastic Dynamics.
Benjamin Lange,"Dr., JRG Leader Ethics of AI",Ethics of Artificial Intelligence,LMU Munich,https://www.benjamin-lange.com,https://mcml.ai/research/groups/lange/,Bio: 'leads the MCML Junior Research Group ‘Ethics of Artificial Intelligence' at LMU Munich.' MCML research area/group: Ethics of Artificial Intelligence.
Achim J. Lilienthal,"Prof. Dr., Collaborating PI",Perception for Intelligent Systems,TU Munich,https://www.ce.cit.tum.de/pins/team/achim-j-lilienthal/,https://mcml.ai/research/groups/lilienthal/,Bio (site typo): 'is holds the chair Perception for Intelligent Systems at TU Munich.' MCML research area/group: Perception for Intelligent Systems.
Johannes Maly,"Prof. Dr., Collaborating PI",Mathematical Data Science and Artificial Intelligence,LMU Munich,https://www.math.lmu.de/math4ai/en/members/contact-page/johannes-maly-fc93da16.html,https://mcml.ai/research/groups/maly/,Bio: 'is Junior Professor at the Working Group Mathematical Data Science and Artificial Intelligence at LMU Munich.' MCML research area/group: Mathematical Data Science and Artificial Intelligence.
Riccardo Marin,"Prof. Dr., Core PI",Machine Learning for Robotics,TU Munich,http://riccardomarin.github.io/,https://mcml.ai/research/groups/marin-riccardo/,"Bio: 'is a resarcher at Computer Vision Group, and Interim Professor at the Chair of Machine Learning for Robotics at TU Munich.' Interim/acting professorship -- flagging as possibly fixed-term. MCML research area/group: Machine Learning for Robotics."
Carsten Marr,"Prof. Dr., Core PI",Artificial Intelligence in Cell Therapy and Hematology,LMU Munich,https://www.med.lmu.de/en/faculty/who-we-are/persons/contact-page/contact-page_35392.html,https://mcml.ai/research/groups/marr/,Bio: 'is Professor ... at LMU Munich and Director of the Institute of AI for Health at Helmholtz Munich.' Secondary affiliation: Helmholtz Munich (institute director). MCML research area/group: Artificial Intelligence in Cell Therapy and Hematology.
Martin Menten,"Dr., JRG Leader AI for Vision",Artificial Intelligence in Healthcare and Medicine,TU Munich,https://kiinformatik.mri.tum.de/en/team/martin_menten,https://mcml.ai/research/groups/menten/,Bio: 'leads the MCML Junior Research Group ‘AI for Vision' at TU Munich.' MCML research area/group: Artificial Intelligence in Healthcare and Medicine.
Christian Müller,"Prof. Dr., Core PI",Biomedical Statistics and Data Science,LMU Munich,https://www.biodatascience.statistik.uni-muenchen.de/people/professor/christian-mueller/index.html,https://mcml.ai/research/groups/mueller/,Bio: 'is head of the Workgroup for Biomedical Statistics and Data Science at LMU Munich.' MCML research area/group: Biomedical Statistics and Data Science.
Thomas Nagler,"Prof. Dr., Core PI",Computational Statistics & Data Science,LMU Munich,https://tnagler.github.io,https://mcml.ai/research/groups/nagler/,Bio: 'is Professor of Computational Statistics & Data Science at LMU Munich.' MCML research area/group: Computational Statistics & Data Science.
Nassir Navab,"Prof. Dr., Core PI",Computer Aided Medical Procedures & Augmented Reality,TU Munich,https://www.cs.cit.tum.de/camp/start/,https://mcml.ai/research/groups/navab/,Bio: 'holds the Chair of Computer Aided Medical Procedures & Augmented Reality at TU Munich.' MCML research area/group: Computer Aided Medical Procedures & Augmented Reality.
Matthias Nießner,"Prof. Dr., Core PI",Visual Computing & Artificial Intelligence,TU Munich,http://niessnerlab.org,https://mcml.ai/research/groups/niessner/,Bio: 'heads the Visual Computing Lab at TU Munich.' MCML research area/group: Visual Computing & Artificial Intelligence.
Sven Nyholm,"Prof. Dr., Core PI",Ethics of Artificial Intelligence,LMU Munich,https://www.philosophie.lmu.de/en/directory-of-persons/contact-page/sven-nyholm-4f56fa3b.html,https://mcml.ai/research/groups/nyholm/,Bio: 'is Professor of Ethics of Artificial Intelligence at LMU Munich.' MCML research area/group: Ethics of Artificial Intelligence.
Björn Ommer,"Prof. Dr., Core PI",Computer Vision & Learning,LMU Munich,https://ommer-lab.com,https://mcml.ai/research/groups/ommer/,Bio: 'heads the Computer Vision & Learning Group at LMU Munich.' MCML research area/group: Computer Vision & Learning.
Marcus Paradies,"Prof. Dr., Collaborating PI","Database Systems, Data Mining and AI",LMU Munich,https://www.ifi.lmu.de/dbs/en/persons/contact-page/marcus-paradies-c3de6c74.html,https://mcml.ai/research/groups/paradies/,"Bio: 'is Professor at the Database Systems and Data Mining AI Lab at LMU Munich.' MCML research area/group: Database Systems, Data Mining and AI."
Barbara Plank,"Prof. Dr., Core PI",AI and Computational Linguistics,LMU Munich,https://mainlp.github.io,https://mcml.ai/research/groups/plank/,Bio: 'heads the Chair for AI and Computational Linguistics at LMU Munich.' MCML research area/group: AI and Computational Linguistics.
Holger Rauhut,"Prof. Dr., Core PI",Mathematical Data Science and Artificial Intelligence,LMU Munich,https://www.math.lmu.de/personen/professoren/rauhut/index.html,https://mcml.ai/research/groups/rauhut/,Bio: 'is Professor of Mathematical Data Science and Artificial Intelligence at LMU Munich.' MCML research area/group: Mathematical Data Science and Artificial Intelligence.
Patrick Rinke,"Prof. Dr., Core PI",AI-based Material Science,TU Munich,https://www.ph.nat.tum.de/ai4ms/home/,https://mcml.ai/research/groups/rinke/,Bio: 'is Professor for AI-based Material Science at TU Munich.' MCML research area/group: AI-based Material Science.
Daniel Rückert,"Prof. Dr., Director",Artificial Intelligence in Healthcare and Medicine,TU Munich,https://kiinformatik.mri.tum.de/en/chair-artificial-intelligence-healthcare-and-medicine,https://mcml.ai/research/groups/rueckert/,Bio: 'is Alexander von Humboldt Professor for AI in Medicine and Healthcare at TU Munich. He is also a Professor at Imperial College London.' Secondary affiliation: Imperial College London. Also MCML Director. MCML research area/group: Artificial Intelligence in Healthcare and Medicine.
David Rügamer,"Prof. Dr., Core PI","Statistics, Data Science and Machine Learning",LMU Munich,https://www.muniq.ai,https://mcml.ai/research/groups/ruegamer/,"Bio: 'is Associate Professor and Group Leader of the Data Science Group at LMU Munich.' MCML research area/group: Statistics, Data Science and Machine Learning."
Fabian Scheipl,"PD Dr., Core PI",Functional Data Analysis,LMU Munich,https://www.stat.lmu.de/en/people/contact-page/fabian-scheipl-a3cef099.html,https://mcml.ai/research/groups/scheipl/,Bio: 'is Head of the Workgroup Functional Data Analysis at LMU Munich.' MCML research area/group: Functional Data Analysis.
Volker Schmid,"Prof. Dr., Core PI",Bayesian Imaging & Spatial Statistics,LMU Munich,https://www.stat.lmu.de/en/people/contact-page/volker-schmid-470113d3.html,https://mcml.ai/research/groups/schmid/,Bio: 'is Head of the Working group Bayesian Image Analysis and Spatial Statistics at LMU Munich.' MCML research area/group: Bayesian Imaging & Spatial Statistics.
Albrecht Schmidt,"Prof. Dr., Core PI",Human-Centered Ubiquitous Media,LMU Munich,https://www.um.informatik.uni-muenchen.de/personen/professoren/schmidt/index.html,https://mcml.ai/research/groups/schmidt/,Bio: 'holds the Chair of Human-Centered Ubiquitous Media at LMU Munich.' MCML research area/group: Human-Centered Ubiquitous Media.
Julia Schnabel,"Prof. Dr., Core PI",Computational Imaging and AI in Medicine,TU Munich,https://compai-lab.github.io,https://mcml.ai/research/groups/schnabel/,Bio: 'is Professor for Computational Imaging and AI in Medicine at TU Munich.' MCML research area/group: Computational Imaging and AI in Medicine.
Steffen Schneider,"Dr., Collaborating PI",Dynamical Inference,Helmholtz Munich,https://dynamical-inference.ai/#,https://mcml.ai/research/groups/schneider/,Bio: 'leads the Dynamical Inference Lab at Helmholtz Munich.' Note: MCML site's own website-link label buckets him as TUM ('Link to website at TUM') despite the bio stating Helmholtz Munich as his institution -- flagging the discrepancy rather than resolving it. MCML research area/group: Dynamical Inference.
Michael Schomaker,"Prof. Dr., Collaborating PI",Biostatistics,LMU Munich,https://www.stat.lmu.de/en/people/contact-page/michael-schomaker-ad37f155.html,https://mcml.ai/research/groups/schomaker/,Bio: 'is Professor for Biostatistics at LMU Munich.' MCML research area/group: Biostatistics.
Matthias Schubert,"Prof. Dr., Core PI",Spatial Artificial Intelligence,LMU Munich,https://www.ifi.lmu.de/dbs/en/persons/contact-page/matthias-schubert-277eb480.html,https://mcml.ai/research/groups/schubert/,Bio: 'is Professor at the Database Systems and Data Mining AI Lab and head of ‘AI-beyond: Research Group for Spatial AI' at LMU Munich.' MCML research area/group: Spatial Artificial Intelligence.
Björn Schuller,"Prof. Dr., Core PI",Health Informatics,TU Munich,http://www.schuller.one,https://mcml.ai/research/groups/schuller/,Bio: 'is professor of Health Informatics at TU Munich.' MCML research area/group: Health Informatics.
Angela P. Schöllig,"Prof. Dr., Core PI",Learning Systems and Robotics,TU Munich,https://www.ce.cit.tum.de/lsy/home/,https://mcml.ai/research/groups/schoellig/,Bio: 'is Head of the Learning Systems and Robotics Lab at TU Munich.' MCML research area/group: Learning Systems and Robotics.
Peter Schüffler,"Prof. Dr., Core PI",Computational Pathology,TU Munich,https://schuefflerlab.org,https://mcml.ai/research/groups/schueffler/,Bio: 'is Professor for Computational Pathology at TU Munich.' MCML research area/group: Computational Pathology.
Hinrich Schütze,"Prof. Dr., Core PI",Computational Linguistics,LMU Munich,https://cisnlp.github.io,https://mcml.ai/research/groups/schuetze/,Bio: 'holds the Chair of Computational Linguistics at LMU Munich.' MCML research area/group: Computational Linguistics.
Thomas Seidl,"Prof. Dr., Director","Database Systems, Data Mining and AI",LMU Munich,https://www.ifi.lmu.de/dbs/en/persons/contact-page/thomas-seidl-d7ba2a79.html,https://mcml.ai/research/groups/seidl/,"Bio: 'is Professor for Computer Science and head of the Database Systems and Data Mining AI Lab at LMU Munich and the Spokesperson of the Munich Center for Machine Learning.' MCML research area/group: Database Systems, Data Mining and AI."
Suvrit Sra,"Prof. Dr., Core PI",Resource Aware Machine Learning,TU Munich,https://www.professoren.tum.de/sra-suvrit,https://mcml.ai/research/groups/sra/,Bio: 'is Professor for Resource Aware Machine Learning at TU Munich.' MCML research area/group: Resource Aware Machine Learning.
Alexandra Stang,"Dr., Managing Director, Collaborations, and DEI Official",MCML Directorate (Board of Directors),TU Munich,https://cvg.cit.tum.de/members/salex,https://mcml.ai/team/directors/,"Bio: 'is Managing Director of the MCML at TU Munich.' Administrative/operational leadership role, listed on MCML's Board of Directors page alongside the four Directors; not a research-chair PI."
Helge Stein,"Prof. Dr., Collaborating PI",Digital Catalysis,TU Munich,https://www.ch.nat.tum.de/digicat/home/,https://mcml.ai/research/groups/stein/,Bio: 'is head of the Chair Digital Catalysis at TU Munich.' MCML research area/group: Digital Catalysis.
Tom Sterkenburg,"Dr., Associated JRG Leader Epistemology in ML",Epistemological Foundations of Machine Learning,LMU Munich,http://tomster.userweb.mwn.de,https://mcml.ai/research/groups/sterkenburg/,Bio: 'leads the Emmy Noether Junior Research Group ...at LMU Munich.' DFG Emmy Noether-funded independent junior group; MCML role tag is 'Associated JRG Leader Epistemology in ML'. MCML research area/group: Epistemological Foundations of Machine Learning.
Fabian Theis,"Prof. Dr., Core PI",Mathematical Modelling of Biological Systems,TU Munich,https://www.helmholtz-munich.de/en/icb/research-groups/theis-lab,https://mcml.ai/research/groups/theis/,Bio: 'holds the Chair of Mathematical Modeling of Biological Systems and TU Munich and is director of the Institute of Computational Biology at the Helmholtz Zentrum München.' Secondary affiliation: Helmholtz Munich (institute director). MCML research area/group: Mathematical Modelling of Biological Systems.
Nils Thuerey,"Prof. Dr., Core PI",Physics-based Simulation,TU Munich,https://ge.in.tum.de,https://mcml.ai/research/groups/thuerey/,Bio: 'is Professor for Physics-based Simulation at TU Munich.' MCML research area/group: Physics-based Simulation.
Federico Tombari,"PD Dr., Collaborating PI",Computer Aided Medical Procedures & Augmented Reality,TU Munich,https://federicotombari.github.io,https://mcml.ai/research/groups/tombari/,"Bio: 'is Lecturer (Privatdozent) at the Chair of Computer Aided Medical Procedures & Augmented Reality at TU Munich. He is also a Director of Research at Google Zurich, Switzerland.' Secondary affiliation: Google (industry). Title is Privatdozent (habilitated lecturer without chair); listed as Collaborating PI by MCML. MCML research area/group: Computer Aided Medical Procedures & Augmented Reality."
Volker Tresp,"Prof. Dr., Core PI","Database Systems, Data Mining and AI",LMU Munich,https://tresp-lab.github.io,https://mcml.ai/research/groups/tresp/,"Bio: 'is Guest Professor for Machine Learning at the Database Systems and Data Mining AI Lab at LMU Munich.' 'Guest Professor' implies an adjunct/visiting role; no other (primary/employing) institution is named on this page. MCML research area/group: Database Systems, Data Mining and AI."
Christian Wachinger,"Prof. Dr., Core PI",Artificial Intelligence in Medical Imaging,TU Munich,https://ai-med.de,https://mcml.ai/research/groups/wachinger/,Bio: 'is Professor for AI in radiology at TU Munich.' MCML research area/group: Artificial Intelligence in Medical Imaging.
Xi Wang,"Dr., JRG Leader Egocentric Vision",Computer Vision & Artificial Intelligence,TU Munich,https://xiwang1212.github.io/homepage/,https://mcml.ai/research/groups/wang-xi/,Bio: 'leads the MCML Junior Research Group ‘Egocentric Vision' at TU Munich.' MCML research area/group: Computer Vision & Artificial Intelligence.
Rüdiger Westermann,"Prof. Dr., Core PI",Computer Graphics & Visualization,TU Munich,https://www.cs.cit.tum.de/cg/cover-page/,https://mcml.ai/research/groups/westermann/,Bio: 'holds the Chair of Computer Graphics and Visualization at TU Munich.' MCML research area/group: Computer Graphics & Visualization.
Benedikt Wiestler,"Prof. Dr., Core PI",AI for Image-Guided Diagnosis and Therapy,TU Munich,https://ai-idt.github.io,https://mcml.ai/research/groups/wiestler/,Bio: 'is Professor for AI for Image-Guided Diagnosis and Therapy at TU Munich.' MCML research area/group: AI for Image-Guided Diagnosis and Therapy.
