name,title_verbatim,team,employer,personal_url,evidence_url,notes
Hélène Bonneau,Enseignante-chercheuse,M3,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/sciences-et-technologies-des-langues/m3/,
Thomas Lavergne,Maître de conférences,M3,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/sciences-et-technologies-des-langues/m3/,Enseignant-chercheur
Kim Gerdes,Chercheur,M3,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/sciences-et-technologies-des-langues/m3/,
Lucas Ondel Yang,Chargé de recherche,M3,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/sciences-et-technologies-des-langues/m3/,
Joseph Mariani,Directeur de recherche Émérite,M3,CNRS,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/sciences-et-technologies-des-langues/m3/,
Sais Fatiha,Responsable d'équipe,LaHDAK,CNRS,https://perso.lisn.upsaclay.fr/sais/,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/science-des-donnees/donnees-et-connaissances-massives-et-heterogenes-lahdak/membres-de-lahdak/,
Bidoit Nicole,Professeure Émérite,LaHDAK,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/science-des-donnees/donnees-et-connaissances-massives-et-heterogenes-lahdak/membres-de-lahdak/,
Bugiotti Francesca,Enseignante-chercheuse,LaHDAK,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/science-des-donnees/donnees-et-connaissances-massives-et-heterogenes-lahdak/membres-de-lahdak/,
Chatalic Philippe,Maître de conférence,LaHDAK,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/science-des-donnees/donnees-et-connaissances-massives-et-heterogenes-lahdak/membres-de-lahdak/,
Lazaar Nadjib,Enseignant-chercheur,LaHDAK,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/science-des-donnees/donnees-et-connaissances-massives-et-heterogenes-lahdak/membres-de-lahdak/,
Ma Yue,Enseignante-chercheuse,LaHDAK,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/science-des-donnees/donnees-et-connaissances-massives-et-heterogenes-lahdak/membres-de-lahdak/,
Paris Pierre-Henri,Maître de conférences,LaHDAK,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/science-des-donnees/donnees-et-connaissances-massives-et-heterogenes-lahdak/membres-de-lahdak/,
Popineau Fabrice,Enseignant-chercheur,LaHDAK,CentraleSupélec,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/science-des-donnees/donnees-et-connaissances-massives-et-heterogenes-lahdak/membres-de-lahdak/,
Quercini Gianluca,Enseignant-chercheur,LaHDAK,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/science-des-donnees/donnees-et-connaissances-massives-et-heterogenes-lahdak/membres-de-lahdak/,
Raad Joe,Maître de conférences,LaHDAK,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/science-des-donnees/donnees-et-connaissances-massives-et-heterogenes-lahdak/membres-de-lahdak/,
Seghouani Nacera,Professeure,LaHDAK,CentraleSupélec,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/science-des-donnees/donnees-et-connaissances-massives-et-heterogenes-lahdak/membres-de-lahdak/,Département Informatique
Waller Emmanuel,Enseignant-chercheur,LaHDAK,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/science-des-donnees/donnees-et-connaissances-massives-et-heterogenes-lahdak/membres-de-lahdak/,
Dominique Quadri,Professeure des universités,ROCS,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/science-des-donnees/reseaux-optimisation-combinatoire-et-stochastique-rocs/,Ancienne Présidente de la Mention Informatique
Steven Martin,Professeur,ROCS,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/science-des-donnees/reseaux-optimisation-combinatoire-et-stochastique-rocs/,
Jay Flora,Chercheuse,BioInfo,CNRS,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/science-des-donnees/bioinfo-2/,Directrice adjointe d'équipe
Fanny Pouyet,Enseignante-chercheuse,BioInfo,Université Paris-Saclay,,https://www.lisn.upsaclay.fr/recherche/departements-et-equipes/science-des-donnees/bioinfo-2/,
