name,in_saarbruecken,independent,current_title_verbatim,current_institution,moved_to_city,evidence_url,retrieved,confidence,notes
Jian Wang 0042,no,no,Research Scientist,Meta,,https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence/people,2026-08-06,medium,"MPI-INF D6 alumni list: PhD graduated 2024 (thesis: Egocentric Motion Capture), now Research Scientist at Meta. DBLP's MPI-INF/CAS listing is stale; exact Meta office/city unconfirmed."
Steffen Jung 0001,yes,no,PhD Student,Max Planck Institute for Informatics,,https://www.mpi-inf.mpg.de/departments/computer-vision-and-machine-learning/people/steffen-jung/,2026-08-06,high,MPI-INF D2 page lists him as PhD Student in Margret Keuper's Robust Visual Learning group (co-affiliated with her Mannheim group). Not independent.
Mallikarjun B. R. 0001,no,no,,unclear (DBLP lists MPI-INF; absent from current department roster),,https://dblp.uni-trier.de/pid/241/9493.html; https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence/people,2026-08-06,low,"Absent from MPI-INF's current VCAI roster in every category, including the alumni list; no working personal homepage located. Was always junior/PhD-level under Elgharib/Theobalt, never an independent PI, so independent=no regardless of current whereabouts. in_saarbruecken set to 'no' as best-evidence default (absent from every current MPI-INF roster category) though genuinely uncertain -- hence confidence=low."
Osman Mian,no,no,"Researcher (styled ""Dr. Osman Mian"")",IKIM -- Institute for Artificial Intelligence in Medicine (University Hospital Essen / Ruhr University Bochum),Essen,https://scholar.google.com/citations?user=z6uIWDYAAAAJ; https://mml.ikim.nrw,2026-08-06,high,"Completed PhD 2024 at Saarland/CISPA (Jilles Vreeken's group), then left. Old CISPA profile now 404s; Scholar/LinkedIn show IKIM Essen as current employer."
Xinyue Shen 0001,yes,no,PhD Student,CISPA Helmholtz Center for Information Security,,https://cispa.de/en/people/c01xish,2026-08-06,high,CISPA directory lists her as PhD Candidate in the Yang Zhang/Michael Backes group. Not independent.
David Kaltenpoth,yes,no,Post-doctoral Researcher,CISPA Helmholtz Center for Information Security (Jilles Vreeken's Exploratory Data Analysis group),,https://vreeken.groups.cispa.de/people/david/; https://cispa.de/en/people/c01daka,2026-08-06,high,"Group page states he is a postdoc in Vreeken's group. Genuine Saarbrücken position, not independent."
Fionn Mc Inerney,no,no,Senior Researcher in Artificial Intelligence and Machine Learning,Telefónica (Telefónica Research),"Barcelona, Spain",https://sites.google.com/view/fionn-mc-inerney/,2026-08-06,high,"Homepage timeline: CISPA postdoc 2021-2023, then Aix-Marseille, TU Wien postdoc, now Senior Researcher at Telefónica Barcelona since Oct 2024. DBLP's CISPA listing is stale by ~3 years."
Ahmed Salem 0001,secondary,no,Senior Researcher (Microsoft Security Response Center),Microsoft,,https://ahmedsalem2.github.io/; https://www.microsoft.com/en-us/research/people/ahmsalem/,2026-08-06,medium,"Own homepage lists location as Saarbrücken and DBLP-indexed 2025-2026 papers still carry a CISPA byline, but he is absent from CISPA's current people directory -- no formal appointment confirmed. Reads as an industry researcher based near Saarbrücken with informal ties to his former group, not a genuine second post."
Yulia Gryaditskaya,no,no,Senior Research Scientist,Adobe,"London, United Kingdom",https://yulia.gryaditskaya.com,2026-08-06,high,"DBLP's MPI-INF note reflects only her 2012-2016 PhD there. Since then: Inria postdoc, Univ. of Surrey (Senior Research Fellow/Assistant Professor 2020-2024), Adobe Senior Research Scientist since Feb 2025."
Dongqi Liu 0001,no,unclear,"Dr. (PhD defended May 29, 2026; no current position confirmed)","unclear (formerly Saarland University, Vera Demberg's group)",,https://www.uni-saarland.de/lehrstuhl/demberg/; https://aclanthology.org/people/d/dongqi-liu/,2026-08-06,medium,"Demberg lab's own news page confirms his PhD defense on May 29, 2026; he no longer appears in Saarland's current LST staff directory. Destination (DBLP suggests University of Amsterdam) unconfirmed."
Golnoosh Shahkarami,yes,no,Researcher at the Max Planck Institute for Informatics and the University of Bremen (self-described),"Max Planck Institute for Informatics, D1 Algorithms and Complexity (joint with University of Bremen)",,https://www.mpi-inf.mpg.de/departments/algorithms-complexity/people/current-members/golnoosh-shahkarami,2026-08-06,high,"Own MPI-INF profile: PhD under Kurt Mehlhorn, now a postdoc-level researcher in D1 (headed by Danupon Na Nongkai), jointly with Bremen. Not an independent PI with her own budget/group."
Gaurav Sharma 0004,no,no,"""Head of AI Research"" (Typeface); also Visiting Assistant Professor, IIT Kanpur",Typeface,,http://grvsharma.com/,2026-08-06,high,"DBLP's MPII tag corresponds to a postdoc under Bernt Schiele c. 2012-2014, over a decade stale. Current primary post is industry (Typeface); the IIT Kanpur role is visiting-only, which this project excludes. No Saarbrücken tie found."
Zheng Li 0023,no,yes,"Professor, School of Cyber Science and Technology",Shandong University,"Qingdao, China",https://zhenglisec.github.io/,2026-08-06,high,"PhD/postdoc at CISPA through Dec 2024 (Yang Zhang's group), appointed Professor at Shandong University from Jan 2025. CISPA profile now 404s; DBLP is stale."
Daniel Höller,yes,no,"Dr. (listed under ""Postdocs and Ph.D. Students"")","Saarland University, Foundations of Artificial Intelligence (FAI) Group",,https://fai.cs.uni-saarland.de/people; https://fai.cs.uni-saarland.de/hoeller/,2026-08-06,high,"Current FAI group page (Jörg Hoffmann's group) lists him under postdocs/PhD students, not as an independent PI; no Emmy Noether or junior-professorship evidence found."
Tobias Lorenz 0002,yes,no,PhD Student,CISPA Helmholtz Center for Information Security,,https://cispa.de/en/people/c02tolo; https://www.t-lorenz.com/,2026-08-06,high,"CISPA directory: PhD Student (St. Ingbert satellite site), co-authoring with Mario Fritz. Not independent."
Ziqing Yang 0002,yes,no,PhD Student,CISPA Helmholtz Center for Information Security,,https://cispa.de/en/people/c01ziya,2026-08-06,high,CISPA directory confirms PhD Student in the Backes/Zhang group. Not independent.
Guoxing Sun 0001,yes,no,PhD Candidate,"Max Planck Institute for Informatics, D6 Visual Computing and Artificial Intelligence (Christian Theobalt's group)",,https://people.mpi-inf.mpg.de/~gsun/; https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence/people,2026-08-06,high,"Currently a PhD Candidate per D6's official page and his own homepage, since Nov 2022. Not independent."
Yuan Gao 0025,yes,no,PhD Student,CISPA Helmholtz Center for Information Security / Saarland University,,https://cispa.de/en/people/c01yuga,2026-08-06,high,"CISPA profile confirms PhD Student; own site states he is advised by Sebastian Stich, joined Sept 2023. Not independent."
Carsten Stoll,no,no,AI Researcher,Meta,"San Francisco Bay Area, USA",https://www.linkedin.com/in/carstenstoll; https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence/people,2026-08-06,high,"MPI-INF D6 alumni list: Former PhD Student, graduated 2009 (Theobalt group). LinkedIn shows current employer Meta, Bay Area. Purely industry, no Saarbrücken tie."
Yukun Jiang 0001,yes,no,PhD Student,CISPA Helmholtz Center for Information Security,,https://cispa.de/en/people/c01yuji,2026-08-06,high,"CISPA directory: PhD Student in Saarbrücken, Backes/Zhang group; DBLP's Sichuan University line likely reflects co-supervision. Not independent."
Kurt Mehlhorn,yes,no,"Emeritus, Max-Planck-Institut für Informatik",Max Planck Institute for Informatics (Emeritus),,https://de.wikipedia.org/wiki/Kurt_Mehlhorn; https://people.mpi-inf.mpg.de/~mehlhorn/cv.html; https://www.mpi-inf.mpg.de/departments/algorithms-complexity,2026-08-06,high,"Director until his emeritierung (retirement) in 2019; ended his Saarland University professorship in 2025 after 50 years. Verified absent from D1's current department page (headed by Danupon Na Nongkai). Emeritus status is excluded from ""independent"" under this project's rules, though he nominally retains a presence in Saarbrücken."
Noshaba Cheema,yes,no,"""PhD Candidate @ MPII (IMPRS)"" and ""Researcher @ DFKI (ASR)""","Max Planck Institute for Informatics / DFKI, Agents and Simulated Reality group",,https://people.mpi-inf.mpg.de/~ncheema/; https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence/people,2026-08-06,high,"Own homepage (last modified May 2025) confirms both roles as ongoing; D6 page lists her under ""Associated students."" Co-advised PhD student, not independent."
Joscha Cüppers,yes,no,Postdoctoral Researcher,CISPA Helmholtz Center for Information Security (Jilles Vreeken's Exploratory Data Analysis group),,https://eda.rg.cispa.io/people/joscha/; https://cispa.de/en/people/c01jocu,2026-08-06,high,"Defended PhD Sept 2025, now a postdoc in Vreeken's group per the group's current-members page. No independent budget/group."
Janis Kalofolias,no,unclear,"(none found -- last confirmed PhD candidate, dissertation defended 2023)",unknown,unknown,https://eda.rg.cispa.io/people/; https://dblp.org/pid/194/4254.html,2026-08-06,medium,Absent from CISPA's entire people directory and from Vreeken's EDA group's current-member list as of Aug 2026 (checked directly). Strong evidence he has left Saarbrücken; destination could not be established.
Quynh Nguyen 0001,no,unclear,"Last confirmed: Senior ML Scientist, Validaitor (advisory role tied to KIT), Jul-Oct 2023","unconfirmed as of Aug 2026 (last confirmed: Validaitor/KIT, Karlsruhe)","Karlsruhe, Germany (as of Oct 2023)",https://www.nicvn.com/medias/2023/09/Quynh-Nguyen-CV.pdf,2026-08-06,medium,"Own dated CV shows he left Saarland/MPI-INF after his 2019 PhD and an IMPRS fellowship ending 2014; bounced through a Leipzig MPI postdoc, DFKI, then Validaitor/KIT by Oct 2023. No evidence of any Saarbrücken position since, but a ~3-year evidence gap remains to Aug 2026."
Tania Avgustinova,yes,yes,Prof. Dr. (Apl. Professorin),"Saarland University, Department of Language Science and Technology",,https://www.uni-saarland.de/fachrichtung/lst/personen/professorinnen.html; https://www.coli.uni-saarland.de/~tania/,2026-08-06,medium,"Listed as active on the department's current professor roster holding an ""außerplanmäßige Professur"" (apl. Prof) -- a permanent, habilitated professorial title without a dedicated chair. Counted independent under ""professor of any rank""; flagged since this title sits between full chair and Privatdozent."
Maximilian Fickert,no,no,"Dr. (listed as alumnus -- ""now at Snowflake"")",Snowflake,,https://fai.cs.uni-saarland.de/people,2026-08-06,high,"Current FAI group alumni page states ""Dr. Maximilian Fickert (now at Snowflake)."" Industry-only post; left Saarland academia."
Rui Wen 0002,no,yes,Assistant Professor,Institute of Science Tokyo,"Tokyo, Japan",https://wenruiustc.github.io/,2026-08-06,high,"Own homepage: ""I'm an Assistant Professor at the Institute of Science Tokyo. I recently completed my Ph.D. at CISPA, where I was supervised by Prof. Michael Backes and Dr. Yang Zhang."" DBLP's CISPA listing is stale."
Yihan Ma 0001,yes,no,PhD Student,CISPA Helmholtz Center for Information Security,,https://cispa.de/en/people/c01yima,2026-08-06,high,CISPA directory confirms PhD Student in the Backes/Zhang cohort. Not independent.
Yash Raj Sarrof,yes,no,"PhD Student (Language, Computation, and Cognition Lab)",Saarland University,,https://yashsarrof.com,2026-08-06,high,"Own homepage: PhD student under Prof. Dr. Michael Hahn, Dept. of Language Science and Technology. Not independent."
Yifan Wang 0019,yes,no,"Third-year PhD student, RTG ""Neuroexplicit Models of Language, Vision and Action""",Saarland University,,https://ewanwong.github.io/,2026-08-06,high,Own homepage: co-supervised by Prof. Dr. Vera Demberg and Prof. Dr. Isabel Valera. Not independent.
Jingyi Zhang 0002,no,unclear,"unclear (last confirmed: postdoc in Gerard de Melo's group, now listed as alumna)","unclear (last confirmed: Hasso Plattner Institute, Potsdam/Berlin)",Berlin,https://hpi.de/en/de-melo/team.html; https://www.dfki.de/en/web/research/research-departments/multilinguality-and-language-technology/multilinguality-and-language-technology-staff-members,2026-08-06,medium,"DBLP's DFKI affiliation confirmed stale: her DFKI page 404s and she's absent from DFKI's current MLT staff roster. Google Scholar self-reports HPI Berlin, but HPI's own team page for de Melo's group lists her only as an alumna there too -- exact Aug 2026 whereabouts unconfirmed. Definitely left Saarbrücken."
Anurag Singh 0006,yes,no,PhD Student,CISPA Helmholtz Center for Information Security,,https://cispa.de/en/people/c01ansi,2026-08-06,high,"CISPA directory: PhD Student (St. Ingbert site), student in Krikamol Muandet's group. Not independent."
Merel C. J. Scholman,secondary,no,"""Researcher, Saarland University"" (secondary, per own Scholar profile); Assistant Professor, Utrecht University (primary)",Utrecht University,Utrecht,https://scholar.google.com/citations?user=sx6EgnoAAAAJ; https://www.uu.nl/staff/MCJScholman,2026-08-06,medium,"Own Google Scholar profile self-lists dual affiliation ""Assistant Professor, Utrecht University; Researcher, Saarland University."" Utrecht staff page confirms the Assistant Professor post; old Saarland homepage now 404s. Primary, independent post has moved to Utrecht; the Saarbrücken tie is secondary and non-independent."
Hanwei Zhang 0001,yes,no,Postdoctoral Researcher (chair of Prof. Holger Hermanns),Saarland University,,https://depend.cs.uni-saarland.de/~hzhang/; https://hanwei0912.github.io/cv/,2026-08-06,high,"Own homepage/CV: postdoc since Nov 2023 at Hermanns' chair, working on trustworthy/explainable AI. Not independent."
