name,title_verbatim,group_or_dept,campus,other_affiliations,personal_url,evidence_url,notes
Björn Schuller,Prof. Dr.,Health Informatics,Munich city centre,Primary appointment: TUM School of Medicine and Health,https://www.schuller.one,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=C81D6E2A817253F0&pPersonenGruppe=3,"Listed under CIT 'Zweitmitglieder' (secondary members) on https://www.cit.tum.de/cit/school/personen/professuren/ ; primary school per professoren.tum.de: TUM School of Medicine and Health, TUM School of Computation, Information and Technology. Address per TUMonline vCard: 80333 München, Arcisstr.   21 (Hauptstandort)."
Boris Lohmann,Prof. Dr.-Ing.,Regelungstechnik,Garching,Primary appointment: TUM School of Engineering and Design,https://www.rt.mw.tum.de,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=C4B6234ADD394944&pPersonenGruppe=3,"Listed under CIT 'Zweitmitglieder' (secondary members) on https://www.cit.tum.de/cit/school/personen/professuren/ ; primary school per professoren.tum.de: TUM School of Engineering and Design. Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.   15."
Boris Vexler,Prof. Dr. rer. nat.,Lehrstuhl für Optimalsteuerung,Garching,,https://www.math.cit.tum.de/math/vexler,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=F1C45C8297BE5A0A&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3."
Burkhard Rost,Prof. Dr.,Lehrstuhl für Bioinformatik,Garching,,http://www.rostlab.org/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=6484F634B7468977&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/I."
Can Dincer,Prof. Dr.-Ing.,Professur für Sensors and Wearables for Healthcare,Garching,,https://www.ee.cit.tum.de/sen,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=7BD2759EE7022D26&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Hans-Piloty-Str.    1."
Caroline Lasser,Prof. Dr.,Professur für Numerik Partieller Differentialgleichungen,Garching,,https://www.math.cit.tum.de/math/personen/professuren/lasser-caroline/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=B23CDB6F32470320&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/III."
Carsten Trinitis,Prof. Dr.-Ing.,Lehrstuhl für Rechnerarchitektur & Parallele Systeme,Garching,,https://www.ce.cit.tum.de/caos,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=926E31D3E1E35E04&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/I. Additional TUM org listed: TUINH02 Informatik Heilbronn 2 - Professur für Computer Architecture & Operating Systems (Prof. Trinitis komm.)."
Christian Jirauschek,Prof. Dr.-Ing.,Professur für Computational Photonics,Garching,,https://www.ee.cit.tum.de/cph,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=B72803E2D2D282A1&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Hans-Piloty-Str.    1/II (Computational Photonics TUEICPH)."
Christian Kühn,Prof. Dr.,Lehrstuhl für Mehrskaligkeit und Stochastische Dynamik,Garching,Munich Center for Machine Learning (MCML),https://www.math.cit.tum.de/math/forschung/gruppen/multiskalen-stochastische-dynamik/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=D510DABE8741F0C3&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/III."
Christian Liedtke,Prof. Dr. rer. nat.,Lehrstuhl für Algebraische Geometrie,Garching,,https://www.math.cit.tum.de/algebra/liedtke/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=0F1EC6538E77675A&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3."
Christian Mendl,Prof. Dr. rer. nat.,Professur für Quantum Computing,Garching,,http://christian.mendl.net,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=DB6A988558BD78D9&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Friedrich-Ludwig-Bauer-Str.    5/I."
Christian Wachinger,Prof. Dr.,Künstliche Intelligenz in der Radiology,Munich city centre,Primary appointment: TUM School of Medicine and Health,https://www.ai-med.de,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=00971538A2596A42&pPersonenGruppe=3,"Listed under CIT 'Zweitmitglieder' (secondary members) on https://www.cit.tum.de/cit/school/personen/professuren/ ; primary school per professoren.tum.de: TUM School of Medicine and Health. Address per TUMonline vCard: 81675 München, Ismaningerstr. 22."
Christina Kuttler,Prof. Dr. rer. nat.,Professur für Mathematik in den Lebenswissenschaften,Garching,,https://www.math.cit.tum.de/math/personen/professuren/kuttler-christina,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=0E7721100F59189F&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/III."
Christoph Knochenhauer,Prof. Dr. rer. nat.,Professur für Finanzmathematik,Garching,,https://stochasticcontrol.org/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=19F4F4257F9AF912&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Parkring 11/II."
Chunyang Chen,Prof.,Lehrstuhl für Software Engineering & AI,Heilbronn,,https://chunyang-chen.github.io/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=125BC29A0AE1A036&pPersonenGruppe=3,"Address per TUMonline vCard: 74076 Heilbronn, Bildungscampus    2."
Claudia Eckert,Prof. Dr.,Lehrstuhl für Sicherheit in der Informatik,Garching,,https://www.sec.in.tum.de/i20/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=5B2150D73A8ADFB4&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/I."
Claudia Scheimbauer,Prof. Dr.,Professur für Topologie,Garching,,http://www.scheimbauer.at/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=F64940ABF0A3DE79&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/II."
Clemens Thielen,Prof. Dr.,Optimization and Sustainable Decision Making,Straubing,Primary appointment: TUM Campus Straubing,https://odm.cs.tum.de,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=CA907F200B68BB0F&pPersonenGruppe=3,"Listed under CIT 'Zweitmitglieder' (secondary members) on https://www.cit.tum.de/cit/school/personen/professuren/ ; primary school per professoren.tum.de: TUM Campus Straubing. Address per TUMonline vCard: 94315 Straubing, Am Essigberg    3/I."
Cristina Piazza,Prof. Dr.,Professur für Healthcare and Rehabilitation Robotics,Garching,,https://www.ce.cit.tum.de/nhcr/home/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=76E9C2C0B8A0633F&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Friedrich-Ludwig-Bauer-Str.    3 (Siemens Technology Center)."
Daniel Cremers,Prof. Dr.,Lehrstuhl für Computer Vision and Artificial Intelligence,Garching,Munich Center for Machine Learning (MCML),http://cvpr.in.tum.de,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=B53F0E7568B34CDA&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/II."
Daniel Matthes,Prof. Dr. rer. nat.,Professur für Dynamische Systeme,Garching,,https://www.math.cit.tum.de/math/personen/professuren/matthes-daniel/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=25BDDF58138DE46D&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/III."
Daniel Roth,Prof. Dr.,Machine Intelligence in Orthopedics,Munich city centre,Primary appointment: TUM School of Medicine and Health,https://hex-lab.io/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=6527F70CDE2DF847&pPersonenGruppe=3,"Listed under CIT 'Zweitmitglieder' (secondary members) on https://www.cit.tum.de/cit/school/personen/professuren/ ; primary school per professoren.tum.de: TUM School of Medicine and Health. Address per TUMonline vCard: 81675 München, Ismaninger Str.   22."
Daniel Rückert,Univ.-Prof. Dr.,Institut für KI und Informatik in der Medizin,Munich city centre,Munich Center for Machine Learning (MCML),https://www.professoren.tum.de/rueckert-daniel,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=C83784B52D9745FE&pPersonenGruppe=3,"Address per TUMonline vCard: 81675 München, Ismaninger Str. 22. Additional TUM org listed: TUINI31 Informatik 31 - Lehrstuhl für Artificial Intelligence in Healthcare and Medicine (Prof. Rückert) (Joint Appointment der TUM School of Medicine and Health und TUM School of Computation, Information and Technology)."
Darius Burschka,Prof. Dr.-Ing.,"Lehrstuhl für Robotik, Künstliche Intelligenz und Echtzeitsysteme",Garching,,https://ce.cit.tum.de/mvp,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=57E79D7223A6A11D&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/III."
Debarghya Ghoshdastidar,Prof. Dr. Ph.D.,Professur für Theoretical Foundations of Artificial Intelligence,Garching,Munich Center for Machine Learning (MCML),https://www.cs.cit.tum.de/tfai/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=C9951A6320A69B35&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/III."
Deniz Kus,Prof. Dr. rer. nat.,Professur für Darstellungstheorie,Garching,,https://www.math.cit.tum.de/algebra,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=6448174BF2B5D7D5&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/II."
Dirk Heckmann,Prof. Dr.,Ehemalige TUM School of Governance,Munich city centre,Joint appointment: TUM School of Social Sciences and Technology,https://www.gov.tum.de/elaw,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=99BD577986D760F5&pPersonenGruppe=3,"Address per TUMonline vCard: 80333 München, Richard-Wagner-Str.    1 (TUM School of Governance). Additional TUM org listed: TUPOL14 Lehrstuhl für Recht und Sicherheit der Digitalisierung (Prof. Heckmann, Joint Appointment der TUM School of Social Sciences and Technology und TUM School of Computation, Information and Technology)."
Dominik Grimm,Prof. Dr.,Bioinformatik,Straubing,Primary appointment: TUM Campus Straubing,https://bit.cs.tum.de,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=3B48C63CC5D3EBAC&pPersonenGruppe=3,"Listed under CIT 'Zweitmitglieder' (secondary members) on https://www.cit.tum.de/cit/school/personen/professuren/ ; primary school per professoren.tum.de: TUM Campus Straubing. Address per TUMonline vCard: 94315 Straubing, Schulgasse 16 (HSWT Prof. am TUM Campus Straubing)."
Donna Ankerst,Prof. Ph.D.,Professur für Biostatistik,Garching,,https://www.math.cit.tum.de/math/ankerst,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=6C4DA60D5E80F915&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/II."
Eckehard Steinbach,Prof. Dr.-Ing.,Lehrstuhl für Medientechnik,Munich city centre,,https://www.ce.cit.tum.de/en/lmt/home/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=7A6220365686FFC6&pPersonenGruppe=3,"Address per TUMonline vCard: 80333 München, Arcisstr.   21/II."
Elisabeth Ullmann,Prof. Dr. rer. nat.,Professur für Wissenschaftliches Rechnen und Unsicherheitsquantifizierung,Garching,,https://www.math.cit.tum.de/math/personen/professuren/ullmann-elisabeth/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=10FD9EFDE2A58069&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/III."
Enkelejda Kasneci,Prof. Dr.,Human-Centered Technologies for Learning,Munich city centre,Primary appointment: TUM School of Social Sciences and Technology,https://www.edu.sot.tum.de/hctl/prof-dr-enkelejda-kasneci/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=74C17DE89B4BE2A6&pPersonenGruppe=3,"Listed under CIT 'Zweitmitglieder' (secondary members) on https://www.cit.tum.de/cit/school/personen/professuren/ ; primary school per professoren.tum.de: TUM School of Social Sciences and Technology, TUM School of Computation, Information and Technology. Address per TUMonline vCard: 80333 München, Arcisstr.   21 (Chair Human-Centered Technologies for Le)."
Eric Sonnendrücker,Prof. Dr.,Zentrum Mathematik,Garching,,https://www.math.cit.tum.de/math/sonnendruecker,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=E296BFDB42644DE0&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3. Additional TUM org listed: TUMAM16 Lehrstuhl für Numerische Methoden der Plasmaphysik (Prof. Sonnendrücker)."
Erika Covi,Prof. Dr.,Professur für Nanoelectronic Circuits and Systems,Garching,,,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=5C54CCAA9D328F2C&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Friedrich-Ludwig-Bauer-Str.    3."
Eva Weig,Prof. Dr. rer. nat.,Lehrstuhl für Nano- und Quantensensorik,Garching,,https://www.ee.cit.tum.de/nan/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=0789B697816BBEF0&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Hans-Piloty-Str.    1/III (Nano and Quantum Sensors TUEINAN). Additional TUM org listed: TUS3DP1 Department Physics."
Fabian Theis,Prof. Dr.,Lehrstuhl für Mathematische Modellierung biologischer Systeme,Garching,"Munich Center for Machine Learning (MCML); Helmholtz Munich, Institute of Computational Biology (Director)",http://cmb.helmholtz-muenchen.de,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=89DCC1892A841638&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3."
Felix Brandt,Prof. Dr.,Professur für Algorithmische Spieltheorie,Garching,,https://www.cs.cit.tum.de/dss/brandt/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=E4E0504B707FF8CF&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/III."
Felix Dietrich,Prof. Dr. rer. nat.,Lehrstuhl für Scientific Computing,Garching,Munich Center for Machine Learning (MCML),https://fd-research.com/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=D3E6A3C331EDCCE3&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/II. Additional TUM org listed: TUS1316 Lehrstuhl für Physics-enhanced Machine Learning (Prof. Dietrich)."
Florian Bruse,Prof. Dr. rer. nat.,Lehrstuhl für Logik und Verifikation,Garching,,,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=8E421E853365202B&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/I."
Florian Matthes,Prof. Dr. rer. nat.,Lehrstuhl für Software Engineering for Business Information Systems,Garching,,http://wwwmatthes.in.tum.de/pages/88bkmvw6y7gx,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=4A92FF15657D7B00&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/I."
Florian Zuleger,Prof. Dr.,Lehrstuhl für Grundlagen der Programmierung,Garching,,,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=1C81B0EC4DD25E28&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3."
Folkmar Bornemann,Prof. Dr. rer. nat. habil.,Lehrstuhl für Wissenschaftliches Rechnen,Garching,,https://www.professoren.tum.de/professoren/bornemann-folkmar,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=06490DF66EF3A436&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3."
Francisco Javier Esparza Estaun,Prof.,Lehrstuhl für Theoretische Informatik,Garching,,https://www7.in.tum.de/~esparza,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=2B2CA7120B2D22C1&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Boltzmannstr.    3/III."
Frank Petzold,Prof. Dr.-Ing.,Architekturinformatik,Munich city centre,Primary appointment: TUM School of Engineering and Design,https://ai.ar.tum.de/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=CA240DE5EB7454E6&pPersonenGruppe=3,"Listed under CIT 'Zweitmitglieder' (secondary members) on https://www.cit.tum.de/cit/school/personen/professuren/ ; primary school per professoren.tum.de: TUM School of Engineering and Design. Address per TUMonline vCard: 80333 München, Arcisstr.   21/IV (Lehrstuhl für Architekturinformatik)."
Franz Kreupl,Prof. Dr. rer. nat.,Professur für Hybride elektronische Systeme,Garching,,https://www.ee.cit.tum.de/hes/home/,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=0C021E25F456B6BF&pPersonenGruppe=3,"Address per TUMonline vCard: 85748 Garching b. München, Hans-Piloty-Str.    1/II."
