institute,campus,unit_name,unit_kind,leader_name,leader_title_verbatim,evidence_url,retrieved,confidence,notes
MPI for Intelligent Systems,unclear,Cyborg Robotics and Intelligent Sensing,independent_group,Antonia Georgopoulou,Max Planck Research Group Leader,https://is.mpg.de/cyris,2026-08-06,medium,"One of 18 independent research groups named on is.mpg.de/research. No office-specific address found on institute pages this pass; two prior independent single-campus scrapes of this institute (Tübingen roster and Stuttgart roster, 2026-08-06) both separately marked her campus 'unclear' as well."
MPI for Intelligent Systems,Tübingen,Deep Models and Optimization,independent_group,Antonio Orvieto,PI,https://is.mpg.de/dmo,2026-08-06,medium,"One of 18 independent research groups named on is.mpg.de/research. Own page gives 'Office: S2.005'; the same S2.xxx office-code pattern is confirmed as Max-Planck-Ring 4, 72076 Tübingen on Jonas Geiping's page ('Office: S2.003 Max-Planck-Ring 4 72076 Tübingen'). Contact email domain (tue.ellis.eu) is also consistent with a Tübingen/ELLIS co-location."
MPI for Intelligent Systems,Stuttgart,Embodied Social Interaction,independent_group,Philipp Müller,Max Planck Research Group Leader,https://is.mpg.de/esi,2026-08-06,high,One of 18 independent research groups named on is.mpg.de/research. Own page states explicitly: 'Philipp Müller leads the Independent Research Group Embodied Social Interaction at the Max Planck Institute for Intelligent Systems (MPI-IS) in Stuttgart.'
MPI for Intelligent Systems,unclear,Human Aspects of Machine Learning,independent_group,Samira Samadi,Research Group Leader,https://is.mpg.de/hml,2026-08-06,medium,"One of 18 independent research groups named on is.mpg.de/research. Individual profile URLs (is.mpg.de/person/samira-samadi and is.mpg.de/hml/person/ssamadi) both 404 as of this pass; no office-specific address found. Prior scrapes disagreed on her campus (2026-08-06 Tübingen roster said Tübingen, 2026-08-06 Stuttgart roster said unclear)."
MPI for Intelligent Systems,unclear,Learning and Dynamical Systems,independent_group,Michael Muehlebach,Research Group Leader,https://is.mpg.de/lds,2026-08-06,medium,"One of 18 independent research groups named on is.mpg.de/research. Own page (lds/person/mmuehlebach) 500-errored this pass; a mirror URL (is.mpg.de/person/mmuehlebach) gave only the institute's two generic addresses. Prior scrapes disagreed on his campus (2026-08-06 Tübingen roster said Tübingen via an office code, 2026-08-06 Stuttgart roster said unclear)."
MPI for Intelligent Systems,Stuttgart,Mechanics for Intelligent Structures,independent_group,Renate Sachse,Max Planck Research Group Leader,https://is.mpg.de/mis,2026-08-06,medium,"One of 18 independent research groups named on is.mpg.de/research. Own page names 'Heisenbergstraße 3' (Stuttgart) specifically; a prior Tübingen-campus scrape instead recorded her as Tübingen, describing it as ambiguous ('works at both campuses; Tübingen listed first'). Stuttgart is recorded here as the better-supported reading given the street-specific match, but the evidence is genuinely mixed across passes."
MPI for Intelligent Systems,Stuttgart,Neuromechanics of Movement,independent_group,Janneke Schwaner,Max Planck Research Group Leader,https://is.mpg.de/nom,2026-08-06,high,"One of 18 independent research groups named on is.mpg.de/research. Own page gives office 4E21, matching the Stuttgart '4Exx' building-code pattern seen elsewhere (e.g. Hartmann's 4E09)."
MPI for Intelligent Systems,Stuttgart,Organizational Leadership and Diversity,independent_group,Ksenia Keplinger,Research Group Leader,https://is.mpg.de/ld,2026-08-06,high,"One of 18 independent research groups named on is.mpg.de/research. Own page gives office 5P01, 70569 Stuttgart, phone +49 711 689-3516."
MPI for Intelligent Systems,Tübingen,Robotic Composites and Compositions,independent_group,Buse Aktaş,Max Planck Research Group Leader,https://is.mpg.de/rococo,2026-08-06,medium,"One of 18 independent research groups named on is.mpg.de/research. A prior 2026-08-06 Tübingen-campus scrape recorded a specific office at 'Max-Planck-Ring 4, 72076 Tübingen' for her; this pass's re-fetch (rococo/person/baktas) showed only the two generic institute addresses, and a prior Stuttgart-campus scrape marked her campus unclear. Tübingen recorded on the strength of the specific address found previously, at medium rather than high confidence given the conflicting passes."
MPI for Intelligent Systems,Tübingen,Robust Machine Learning,independent_group,Wieland Brendel,Research Group Leader,https://is.mpg.de/rml,2026-08-06,high,One of 18 independent research groups named on is.mpg.de/research. Email wieland.brendel@tuebingen.mpg.de.
MPI for Intelligent Systems,Tübingen,Safety- and Efficiency- aligned Learning,independent_group,Jonas Geiping,PI,https://is.mpg.de/seal,2026-08-06,high,One of 18 independent research groups named on is.mpg.de/research. Own page: 'Office: S2.003 Max-Planck-Ring 4 72076 Tübingen.'
MPI for Intelligent Systems,Tübingen,Science and Probabilistic Intelligence,independent_group,Maximilian Dax,Research Group Leader,https://is.mpg.de/spin,2026-08-06,high,One of 18 independent research groups named on is.mpg.de/research. Location confirmed 72076 Tübingen (per 2026-08-06 scrape of this same profile page).
MPI for Intelligent Systems,Tübingen,"Wild, Efficient, and Innovative AI",independent_group,Shiwei Liu,Research Group Leader,https://is.mpg.de/wei,2026-08-06,high,"One of 18 independent research groups named on is.mpg.de/research. Own page gives office 29, APT Brunnenstraße 30, 72074 Tübingen; independently corroborated by ELLIS Institute Tübingen's own people page and by data/adjudication_rulings_tuebingen.csv."
MPI for Intelligent Systems,unclear,Intelligent Construction and Building Systems,independent_group,Achim Menges,Max Planck Fellow,https://is.mpg.de/icbs,2026-08-06,medium,"Listed under 'Max Planck Fellow Groups' on is.mpg.de/campus-facilities -- a category distinct from both the six departments and the 18 standard independent research groups, but still institute-recognised as an independent group headed by a named Fellow (icbs/people: 'Achim Menges leads the group... Max Planck Fellow', with postdocs Samuel Leder and Xiliu Yang reporting to him). No campus-specific address found on institute pages for this group; Menges's primary appointment is not stated on this institute's own pages."
MPI for Intelligent Systems,unclear,Interactive Learning,independent_group,Andreas Krause,Max Planck Fellow,https://is.mpg.de/ilg,2026-08-06,medium,Listed under 'Max Planck Fellow Groups' on is.mpg.de/campus-facilities. ilg/people names Andreas Krause as the sole 'Max Planck Fellow' for this group. No campus-specific address found on institute pages.
MPI for Intelligent Systems,Stuttgart,Social Tactile & Assistive Robotics and Intelligence (STARI),independent_group,Rachael Bevill Burns,Partner Group Leader,https://is.mpg.de/hi/news/max-planck-partner-group-established-to-strengthen-ties-between-mpi-is-and-the-university-of-tennessee-knoxville,2026-08-06,medium,"Listed under 'Max Planck Partner Group' on is.mpg.de/campus-facilities and affiliated with the Haptic Intelligence department; institute's own hi/people page also titles her 'Partner Group Leader'. The institute's own news item states the partner group was established 'between MPI-IS in Stuttgart and the University of Tennessee Knoxville', so the group is recorded as Stuttgart-affiliated even though Burns's primary appointment is UTK (Assistant Professor of ECE) -- a joint/secondary-appointment situation, not a resolvable conflict."
MPI for Intelligent Systems,unclear,CELLnROLL,unclear,,Start-up team (no leader title found),https://is.mpg.de/cellnroll/people,2026-08-06,low,"Listed under 'Start-Up Teams' on is.mpg.de/campus-facilities -- a third category distinct from both departments and independent research groups. Its own people page lists seven staff (Research Scientists, a Master Student, others with no title) with no one titled leader, head, or PI; the institute's own pages do not identify who leads it, so unit_kind is left unclear rather than guessed at."
MPI for Intelligent Systems,Tübingen,Neural Capture and Synthesis,unclear,Justus Thies,Max Planck Research Group Leader,https://is.mpg.de/ps/people,2026-08-06,low,"Current ps/people page (fetched this pass) lists Justus Thies as 'Max Planck Research Group Leader' of 'Neural Capture and Synthesis' within Perceiving Systems. However the institute's own is.mpg.de/former-groups page separately and explicitly lists 'Neural Capture and Synthesis - Justus Thies' as a FORMER research group, and this group is absent from the current 18-group independent list on is.mpg.de/research. Direct conflict between two of the institute's own pages; recorded as unclear rather than resolved either way."
MPI for Software Systems,Kaiserslautern,Björn Brandenburg,independent_group,Björn Brandenburg,Faculty (tenured),https://www.mpi-sws.org/people/bbb/,2026-08-06,high,"The institute's own 'Structure and Organization' text (mpi-sws.org/about-us/) states: 'The MPI for Software Systems is jointly led by its faculty, who also lead independent research groups... Selected junior candidates with strong potential have the opportunity to lead a research group for up to 5 years without the responsibilities of a faculty position.' This explicitly establishes BOTH tenured/tenure-track Faculty AND (junior, time-limited) Research Group Leaders as leaders of their own independent groups -- MPI-SWS has no departments and no named sub-teams reporting to another PI; every Faculty/Research Group Leader person IS the unit. Site (Saarbrücken vs Kaiserslautern) per data/raw/directories/2026-08-06/de-mpi-sws/roster.csv, confirmed there via physical office address/building on each person's own mpi-sws.org profile page."
MPI for Software Systems,Saarbrücken,Derek Dreyer,independent_group,Derek Dreyer,Faculty (scientific director),https://www.mpi-sws.org/people/dreyer/,2026-08-06,high,"The institute's own 'Structure and Organization' text (mpi-sws.org/about-us/) states: 'The MPI for Software Systems is jointly led by its faculty, who also lead independent research groups... Selected junior candidates with strong potential have the opportunity to lead a research group for up to 5 years without the responsibilities of a faculty position.' This explicitly establishes BOTH tenured/tenure-track Faculty AND (junior, time-limited) Research Group Leaders as leaders of their own independent groups -- MPI-SWS has no departments and no named sub-teams reporting to another PI; every Faculty/Research Group Leader person IS the unit. Site (Saarbrücken vs Kaiserslautern) per data/raw/directories/2026-08-06/de-mpi-sws/roster.csv, confirmed there via physical office address/building on each person's own mpi-sws.org profile page."
MPI for Software Systems,Saarbrücken,Peter Druschel,independent_group,Peter Druschel,Faculty (scientific director),https://www.mpi-sws.org/people/druschel/,2026-08-06,high,"The institute's own 'Structure and Organization' text (mpi-sws.org/about-us/) states: 'The MPI for Software Systems is jointly led by its faculty, who also lead independent research groups... Selected junior candidates with strong potential have the opportunity to lead a research group for up to 5 years without the responsibilities of a faculty position.' This explicitly establishes BOTH tenured/tenure-track Faculty AND (junior, time-limited) Research Group Leaders as leaders of their own independent groups -- MPI-SWS has no departments and no named sub-teams reporting to another PI; every Faculty/Research Group Leader person IS the unit. Site (Saarbrücken vs Kaiserslautern) per data/raw/directories/2026-08-06/de-mpi-sws/roster.csv, confirmed there via physical office address/building on each person's own mpi-sws.org profile page."
MPI for Software Systems,Saarbrücken,Deepak Garg,independent_group,Deepak Garg,Faculty (tenured),https://www.mpi-sws.org/people/dg/,2026-08-06,high,"The institute's own 'Structure and Organization' text (mpi-sws.org/about-us/) states: 'The MPI for Software Systems is jointly led by its faculty, who also lead independent research groups... Selected junior candidates with strong potential have the opportunity to lead a research group for up to 5 years without the responsibilities of a faculty position.' This explicitly establishes BOTH tenured/tenure-track Faculty AND (junior, time-limited) Research Group Leaders as leaders of their own independent groups -- MPI-SWS has no departments and no named sub-teams reporting to another PI; every Faculty/Research Group Leader person IS the unit. Site (Saarbrücken vs Kaiserslautern) per data/raw/directories/2026-08-06/de-mpi-sws/roster.csv, confirmed there via physical office address/building on each person's own mpi-sws.org profile page."
MPI for Software Systems,Saarbrücken,Christina Giannoula,independent_group,Christina Giannoula,Faculty (tenure-track),https://www.mpi-sws.org/people/cgiannoula/,2026-08-06,high,"The institute's own 'Structure and Organization' text (mpi-sws.org/about-us/) states: 'The MPI for Software Systems is jointly led by its faculty, who also lead independent research groups... Selected junior candidates with strong potential have the opportunity to lead a research group for up to 5 years without the responsibilities of a faculty position.' This explicitly establishes BOTH tenured/tenure-track Faculty AND (junior, time-limited) Research Group Leaders as leaders of their own independent groups -- MPI-SWS has no departments and no named sub-teams reporting to another PI; every Faculty/Research Group Leader person IS the unit. Site (Saarbrücken vs Kaiserslautern) per data/raw/directories/2026-08-06/de-mpi-sws/roster.csv, confirmed there via physical office address/building on each person's own mpi-sws.org profile page."
MPI for Software Systems,Kaiserslautern,Manuel Gomez Rodriguez,independent_group,Manuel Gomez Rodriguez,Faculty (tenured),https://www.mpi-sws.org/people/manuelgr/,2026-08-06,high,"The institute's own 'Structure and Organization' text (mpi-sws.org/about-us/) states: 'The MPI for Software Systems is jointly led by its faculty, who also lead independent research groups... Selected junior candidates with strong potential have the opportunity to lead a research group for up to 5 years without the responsibilities of a faculty position.' This explicitly establishes BOTH tenured/tenure-track Faculty AND (junior, time-limited) Research Group Leaders as leaders of their own independent groups -- MPI-SWS has no departments and no named sub-teams reporting to another PI; every Faculty/Research Group Leader person IS the unit. Site (Saarbrücken vs Kaiserslautern) per data/raw/directories/2026-08-06/de-mpi-sws/roster.csv, confirmed there via physical office address/building on each person's own mpi-sws.org profile page."
MPI for Software Systems,Kaiserslautern,Krishna Gummadi,independent_group,Krishna Gummadi,Faculty (scientific director),https://www.mpi-sws.org/people/gummadi/,2026-08-06,high,"The institute's own 'Structure and Organization' text (mpi-sws.org/about-us/) states: 'The MPI for Software Systems is jointly led by its faculty, who also lead independent research groups... Selected junior candidates with strong potential have the opportunity to lead a research group for up to 5 years without the responsibilities of a faculty position.' This explicitly establishes BOTH tenured/tenure-track Faculty AND (junior, time-limited) Research Group Leaders as leaders of their own independent groups -- MPI-SWS has no departments and no named sub-teams reporting to another PI; every Faculty/Research Group Leader person IS the unit. Site (Saarbrücken vs Kaiserslautern) per data/raw/directories/2026-08-06/de-mpi-sws/roster.csv, confirmed there via physical office address/building on each person's own mpi-sws.org profile page."
MPI for Software Systems,Saarbrücken,Antoine Kaufmann,independent_group,Antoine Kaufmann,Faculty (tenure-track),https://www.mpi-sws.org/people/antoinek/,2026-08-06,high,"The institute's own 'Structure and Organization' text (mpi-sws.org/about-us/) states: 'The MPI for Software Systems is jointly led by its faculty, who also lead independent research groups... Selected junior candidates with strong potential have the opportunity to lead a research group for up to 5 years without the responsibilities of a faculty position.' This explicitly establishes BOTH tenured/tenure-track Faculty AND (junior, time-limited) Research Group Leaders as leaders of their own independent groups -- MPI-SWS has no departments and no named sub-teams reporting to another PI; every Faculty/Research Group Leader person IS the unit. Site (Saarbrücken vs Kaiserslautern) per data/raw/directories/2026-08-06/de-mpi-sws/roster.csv, confirmed there via physical office address/building on each person's own mpi-sws.org profile page."
MPI for Software Systems,Kaiserslautern,Rupak Majumdar,independent_group,Rupak Majumdar,Faculty (scientific director),https://www.mpi-sws.org/people/rupak/,2026-08-06,high,"The institute's own 'Structure and Organization' text (mpi-sws.org/about-us/) states: 'The MPI for Software Systems is jointly led by its faculty, who also lead independent research groups... Selected junior candidates with strong potential have the opportunity to lead a research group for up to 5 years without the responsibilities of a faculty position.' This explicitly establishes BOTH tenured/tenure-track Faculty AND (junior, time-limited) Research Group Leaders as leaders of their own independent groups -- MPI-SWS has no departments and no named sub-teams reporting to another PI; every Faculty/Research Group Leader person IS the unit. Site (Saarbrücken vs Kaiserslautern) per data/raw/directories/2026-08-06/de-mpi-sws/roster.csv, confirmed there via physical office address/building on each person's own mpi-sws.org profile page."
MPI for Software Systems,Saarbrücken,Joel Ouaknine,independent_group,Joel Ouaknine,Faculty (scientific director),https://www.mpi-sws.org/people/joel/,2026-08-06,high,"The institute's own 'Structure and Organization' text (mpi-sws.org/about-us/) states: 'The MPI for Software Systems is jointly led by its faculty, who also lead independent research groups... Selected junior candidates with strong potential have the opportunity to lead a research group for up to 5 years without the responsibilities of a faculty position.' This explicitly establishes BOTH tenured/tenure-track Faculty AND (junior, time-limited) Research Group Leaders as leaders of their own independent groups -- MPI-SWS has no departments and no named sub-teams reporting to another PI; every Faculty/Research Group Leader person IS the unit. Site (Saarbrücken vs Kaiserslautern) per data/raw/directories/2026-08-06/de-mpi-sws/roster.csv, confirmed there via physical office address/building on each person's own mpi-sws.org profile page."
MPI for Software Systems,Kaiserslautern,Abhilasha Ravichander,independent_group,Abhilasha Ravichander,Faculty (tenure-track),https://www.mpi-sws.org/people/aravicha/,2026-08-06,high,"The institute's own 'Structure and Organization' text (mpi-sws.org/about-us/) states: 'The MPI for Software Systems is jointly led by its faculty, who also lead independent research groups... Selected junior candidates with strong potential have the opportunity to lead a research group for up to 5 years without the responsibilities of a faculty position.' This explicitly establishes BOTH tenured/tenure-track Faculty AND (junior, time-limited) Research Group Leaders as leaders of their own independent groups -- MPI-SWS has no departments and no named sub-teams reporting to another PI; every Faculty/Research Group Leader person IS the unit. Site (Saarbrücken vs Kaiserslautern) per data/raw/directories/2026-08-06/de-mpi-sws/roster.csv, confirmed there via physical office address/building on each person's own mpi-sws.org profile page."
MPI for Software Systems,Kaiserslautern,Anne-Kathrin Schmuck,independent_group,Anne-Kathrin Schmuck,Faculty (tenure-track),https://www.mpi-sws.org/people/akschmuck/,2026-08-06,high,"The institute's own 'Structure and Organization' text (mpi-sws.org/about-us/) states: 'The MPI for Software Systems is jointly led by its faculty, who also lead independent research groups... Selected junior candidates with strong potential have the opportunity to lead a research group for up to 5 years without the responsibilities of a faculty position.' This explicitly establishes BOTH tenured/tenure-track Faculty AND (junior, time-limited) Research Group Leaders as leaders of their own independent groups -- MPI-SWS has no departments and no named sub-teams reporting to another PI; every Faculty/Research Group Leader person IS the unit. Site (Saarbrücken vs Kaiserslautern) per data/raw/directories/2026-08-06/de-mpi-sws/roster.csv, confirmed there via physical office address/building on each person's own mpi-sws.org profile page."
MPI for Software Systems,Saarbrücken,Adish Singla,independent_group,Adish Singla,Faculty (tenured),https://www.mpi-sws.org/people/adishs/,2026-08-06,high,"The institute's own 'Structure and Organization' text (mpi-sws.org/about-us/) states: 'The MPI for Software Systems is jointly led by its faculty, who also lead independent research groups... Selected junior candidates with strong potential have the opportunity to lead a research group for up to 5 years without the responsibilities of a faculty position.' This explicitly establishes BOTH tenured/tenure-track Faculty AND (junior, time-limited) Research Group Leaders as leaders of their own independent groups -- MPI-SWS has no departments and no named sub-teams reporting to another PI; every Faculty/Research Group Leader person IS the unit. Site (Saarbrücken vs Kaiserslautern) per data/raw/directories/2026-08-06/de-mpi-sws/roster.csv, confirmed there via physical office address/building on each person's own mpi-sws.org profile page."
MPI for Software Systems,Saarbrücken,Mariya Toneva,independent_group,Mariya Toneva,Faculty (tenure-track),https://www.mpi-sws.org/people/mtoneva/,2026-08-06,high,"The institute's own 'Structure and Organization' text (mpi-sws.org/about-us/) states: 'The MPI for Software Systems is jointly led by its faculty, who also lead independent research groups... Selected junior candidates with strong potential have the opportunity to lead a research group for up to 5 years without the responsibilities of a faculty position.' This explicitly establishes BOTH tenured/tenure-track Faculty AND (junior, time-limited) Research Group Leaders as leaders of their own independent groups -- MPI-SWS has no departments and no named sub-teams reporting to another PI; every Faculty/Research Group Leader person IS the unit. Site (Saarbrücken vs Kaiserslautern) per data/raw/directories/2026-08-06/de-mpi-sws/roster.csv, confirmed there via physical office address/building on each person's own mpi-sws.org profile page."
MPI for Software Systems,Kaiserslautern,Viktor Vafeiadis,independent_group,Viktor Vafeiadis,Faculty (tenured),https://www.mpi-sws.org/people/viktor/,2026-08-06,high,"The institute's own 'Structure and Organization' text (mpi-sws.org/about-us/) states: 'The MPI for Software Systems is jointly led by its faculty, who also lead independent research groups... Selected junior candidates with strong potential have the opportunity to lead a research group for up to 5 years without the responsibilities of a faculty position.' This explicitly establishes BOTH tenured/tenure-track Faculty AND (junior, time-limited) Research Group Leaders as leaders of their own independent groups -- MPI-SWS has no departments and no named sub-teams reporting to another PI; every Faculty/Research Group Leader person IS the unit. Site (Saarbrücken vs Kaiserslautern) per data/raw/directories/2026-08-06/de-mpi-sws/roster.csv, confirmed there via physical office address/building on each person's own mpi-sws.org profile page."
MPI for Software Systems,Kaiserslautern,Georg Zetzsche,independent_group,Georg Zetzsche,Faculty (tenured),https://www.mpi-sws.org/people/georg/,2026-08-06,high,"The institute's own 'Structure and Organization' text (mpi-sws.org/about-us/) states: 'The MPI for Software Systems is jointly led by its faculty, who also lead independent research groups... Selected junior candidates with strong potential have the opportunity to lead a research group for up to 5 years without the responsibilities of a faculty position.' This explicitly establishes BOTH tenured/tenure-track Faculty AND (junior, time-limited) Research Group Leaders as leaders of their own independent groups -- MPI-SWS has no departments and no named sub-teams reporting to another PI; every Faculty/Research Group Leader person IS the unit. Site (Saarbrücken vs Kaiserslautern) per data/raw/directories/2026-08-06/de-mpi-sws/roster.csv, confirmed there via physical office address/building on each person's own mpi-sws.org profile page."
MPI for Software Systems,Saarbrücken,Laurent Bindschaedler,independent_group,Laurent Bindschaedler,Research Group Leader,https://www.mpi-sws.org/people/bindsch/,2026-08-06,high,"The institute's own 'Structure and Organization' text (mpi-sws.org/about-us/) states: 'The MPI for Software Systems is jointly led by its faculty, who also lead independent research groups... Selected junior candidates with strong potential have the opportunity to lead a research group for up to 5 years without the responsibilities of a faculty position.' This explicitly establishes BOTH tenured/tenure-track Faculty AND (junior, time-limited) Research Group Leaders as leaders of their own independent groups -- MPI-SWS has no departments and no named sub-teams reporting to another PI; every Faculty/Research Group Leader person IS the unit. Site (Saarbrücken vs Kaiserslautern) per data/raw/directories/2026-08-06/de-mpi-sws/roster.csv, confirmed there via physical office address/building on each person's own mpi-sws.org profile page."
MPI for Software Systems,Saarbrücken,Nina Grgic-Hlaca,independent_group,Nina Grgic-Hlaca,Research Group Leader,https://www.mpi-sws.org/people/nghlaca/,2026-08-06,high,"The institute's own 'Structure and Organization' text (mpi-sws.org/about-us/) states: 'The MPI for Software Systems is jointly led by its faculty, who also lead independent research groups... Selected junior candidates with strong potential have the opportunity to lead a research group for up to 5 years without the responsibilities of a faculty position.' This explicitly establishes BOTH tenured/tenure-track Faculty AND (junior, time-limited) Research Group Leaders as leaders of their own independent groups -- MPI-SWS has no departments and no named sub-teams reporting to another PI; every Faculty/Research Group Leader person IS the unit. Site (Saarbrücken vs Kaiserslautern) per data/raw/directories/2026-08-06/de-mpi-sws/roster.csv, confirmed there via physical office address/building on each person's own mpi-sws.org profile page."
MPI for Software Systems,Kaiserslautern,Aditya Potukuchi,independent_group,Aditya Potukuchi,Research Group Leader,https://www.mpi-sws.org/people/apotu/,2026-08-06,high,"The institute's own 'Structure and Organization' text (mpi-sws.org/about-us/) states: 'The MPI for Software Systems is jointly led by its faculty, who also lead independent research groups... Selected junior candidates with strong potential have the opportunity to lead a research group for up to 5 years without the responsibilities of a faculty position.' This explicitly establishes BOTH tenured/tenure-track Faculty AND (junior, time-limited) Research Group Leaders as leaders of their own independent groups -- MPI-SWS has no departments and no named sub-teams reporting to another PI; every Faculty/Research Group Leader person IS the unit. Site (Saarbrücken vs Kaiserslautern) per data/raw/directories/2026-08-06/de-mpi-sws/roster.csv, confirmed there via physical office address/building on each person's own mpi-sws.org profile page."
MPI for Software Systems,Saarbrücken,Goran Radanovic,independent_group,Goran Radanovic,Research Group Leader,https://www.mpi-sws.org/people/gradanovic/,2026-08-06,high,"The institute's own 'Structure and Organization' text (mpi-sws.org/about-us/) states: 'The MPI for Software Systems is jointly led by its faculty, who also lead independent research groups... Selected junior candidates with strong potential have the opportunity to lead a research group for up to 5 years without the responsibilities of a faculty position.' This explicitly establishes BOTH tenured/tenure-track Faculty AND (junior, time-limited) Research Group Leaders as leaders of their own independent groups -- MPI-SWS has no departments and no named sub-teams reporting to another PI; every Faculty/Research Group Leader person IS the unit. Site (Saarbrücken vs Kaiserslautern) per data/raw/directories/2026-08-06/de-mpi-sws/roster.csv, confirmed there via physical office address/building on each person's own mpi-sws.org profile page."
