name,title_verbatim,group_or_dept,primary_affiliation,personal_url,evidence_url,notes
Sebastian Möller,"Prof. Dr.-Ing., Fellow","Quality and Usability; also Head, Speech and Language Technology Lab (DFKI Berlin)",TU Berlin,dfki.de,https://www.bifold.berlin/people/prof-dr-sebastian-moeller.html,"Dean, Faculty of Electrical Engineering and Computer Science, TU Berlin; Scientific Director/Head of DFKI Berlin's Speech and Language Technology Lab since 2017."
Uwe Ohler,"Prof. Dr., Fellow",Systems Biology of Gene Regulation (Senior Group Leader),Max Delbrück Center for Molecular Medicine,mdc-berlin.de/ohler,https://www.bifold.berlin/people/prof-dr-uwe-ohler.html,"Also W3 Professor of Systems Biology of Gene Regulation, Humboldt-Universität zu Berlin."
Manfred Opper,"Prof. Dr., Fellow",School IV EECS,TU Berlin,ki.tu-berlin.de,https://www.bifold.berlin/people/prof-dr-manfred-opper.html,
Tilmann Rabl,"Prof. Dr., Fellow","Chair for Data Engineering Systems, Digital Engineering Faculty","Hasso Plattner Institute, University of Potsdam",hpi.de/rabl/home.html,https://www.bifold.berlin/people/prof-dr-tilmann-rabl.html,
Jürgen Renn,"Prof. Dr., Fellow",(none stated on BIFOLD page),"Max Planck Institute for the History of Science, Berlin (Director)",mpiwg-berlin.mpg.de/users/renn,https://www.bifold.berlin/people/prof-dr-juergen-renn.html,
Wojciech Samek,"Prof. Dr., Fellow",AI Department / Explainable AI Group (Head),Fraunhofer Heinrich Hertz Institute,iphome.hhi.de/samek/,https://www.bifold.berlin/people/prof-dr-wojciech-samek.html,"Also Professor, TU Berlin, Dept. of Electrical Engineering and Computer Science."
Florian Schintke,"Dr., Fellow",Distributed Algorithms (Research Department Head),Zuse Institute Berlin (ZIB),zib.de/das,https://www.bifold.berlin/people/dr-florian-schintke.html,Also CEO of onScale solutions GmbH.
Christof Schütte,"Prof. Dr., Fellow",Mathematics and Scientific Computing,Freie Universität Berlin,zib.de/schuette,https://www.bifold.berlin/people/prof-dr-christof-schuette.html,Also President of Zuse Institute Berlin (since 2015).
Roland Schwarz,"Prof. Dr., Fellow / Principal Investigator","Center for Integrative Oncology (CIO), Cancer Research Center Cologne Essen (CCCE)",University of Cologne,,https://www.bifold.berlin/people/prof-dr-roland-schwarz.html,Professor for Computational Cancer Biology.
Jean-Pierre Seifert,"Prof. Dr., Fellow",School IV EECS / Security in Telecommunications,TU Berlin,isti.tu-berlin.de/security_in_telecommunications,https://www.bifold.berlin/people/prof-dr-jean-pierre-seifert.html,"Also Einstein-Professor, TU Berlin and Einstein Foundation."
Georgios Smaragdakis,"Prof. Dr., Fellow",Cybersecurity Group,Delft University of Technology (TU Delft),smaragdakis.net,https://www.bifold.berlin/people/prof-georgios-smaragdakis-phd.html,"Also Research Affiliate, Max Planck Institute for Informatics."
Vladimir Spokoiny,"Prof. Dr., Fellow",Applied Statistics,Humboldt-Universität zu Berlin,wias-berlin.de/people/spokoiny/,https://www.bifold.berlin/people/prof-dr-vladimir-spokoiny.html,Also heads a research group at the Weierstrass Institute (WIAS) Berlin.
Slawomir Stanczak,"Prof. Dr., Fellow",Faculty of Electrical Engineering and Computer Science,TU Berlin,netit.tu-berlin.de/menue/team/prof_dr_ing_slawomir_stanczak/,https://www.bifold.berlin/people/prof-dr-slawomir-stanczak.html,"Also Department Head, Wireless Communications and Networks, Fraunhofer HHI."
Julia Stoyanovich,"Prof., Fellow",Computer Science and Engineering / Center for Data Science / Center for Responsible AI (Director),NYU Tandon School of Engineering,airesponsibly.net/people/julia/,https://www.bifold.berlin/people/julia-stoyanovich.html,
Matteo Valleriani,"Prof. Dr., Fellow","Dept. I, Research Group Leader","Max Planck Institute for the History of Science, Berlin",mpiwg-berlin.mpg.de/users/valleriani,https://www.bifold.berlin/people/prof-dr-matteo-valleriani.html,"Also Honorary Professor, TU Berlin; Professor for Special Appointments, Tel Aviv University; PI, Berlin Center for Machine Learning."
Martin Vingron,"Prof. Dr., Fellow",Computational Molecular Biology (Director),Max Planck Institute for Molecular Genetics,molgen.mpg.de/3788/Bioinformatik,https://www.bifold.berlin/people/prof-dr-martin-vingron.html,Also holds an Honorarprofessur (adjunct professorship) at Freie Universität Berlin.
Thomas Wiegand,"Prof. Dr., Fellow",Dept. of Electrical Engineering and Computer Science,TU Berlin,iphome.hhi.de/wiegand/,https://www.bifold.berlin/people/prof-dr-thomas-wiegand.html,"Also Executive Director, Fraunhofer Heinrich Hertz Institute, Berlin."
Christian Wressnegger,"Prof. Dr., Fellow",Artificial Intelligence & Security (Chair),Karlsruhe Institute of Technology (KIT),intellisec.de/chris/,https://www.bifold.berlin/people/prof-dr-christian-wressnegger.html,
Eleni Tzirita Zacharatou,"Prof. Dr., Junior Fellow",Spatial Analytics and Large-Scale Data Processing,"Hasso-Plattner-Institut (HPI), University of Potsdam",heltzi.github.io,https://www.bifold.berlin/people/dr-eleni-tzirita-zacharatou.html,BIFOLD page lists her as Assistant Professor; she was appointed W2 Professor at HPI as of July 2025 per the page's own news note.
