name,affiliation,country,orcid,dblp_pid,matched_by,core_papers,extended_papers,venues,last_year,homepage
Manuel Gomez-Rodriguez [SWS],Max Planck Society,de,,,,0,0,,,https://www.mpi-sws.org/~manuelgr
Marcel Böhme [SP],Max Planck Society,de,,,,0,0,,,https://mboehme.github.io
Mariya Toneva [SWS],Max Planck Society,de,,,,0,0,,,https://mtoneva.com
Martin Vingron [MG],Max Planck Society,de,,,,0,0,,,https://www.molgen.mpg.de/93952/vingron-lab
Meeyoung Cha [SP],Max Planck Society,de,,,,0,0,,,https://www.mpi-sp.org/cha
Metin Sitti [IS],Max Planck Society,de,,,,0,0,,,http://pi.is.mpg.de
Michael J. Black [IS],Max Planck Society,de,,,,0,0,,,https://ps.is.tuebingen.mpg.de/person/black
Michael Julian Black [IS],Max Planck Society,de,,,,0,0,,,https://ps.is.tuebingen.mpg.de/person/black
Moritz Hardt [IS],Max Planck Society,de,,,,0,0,,,http://mrtz.org
P. Krishna Gummadi [SWS],Max Planck Society,de,,,,0,0,,,https://www.mpi-sws.org/~gummadi
Paul Francis [SWS],Max Planck Society,de,,,,0,0,,,https://francis.mpi-sws.org
Peter Dayan [KYB],Max Planck Society,de,,,,0,0,,,https://www.kyb.tuebingen.mpg.de/computational-neuroscience
Peter Druschel [SWS],Max Planck Society,de,,,,0,0,,,http://www.mpi-sws.org/~druschel
Peter Schwabe [SP],Max Planck Society,de,,,,0,0,,,https://cryptojedi.org/peter
Rupak Majumdar [SWS],Max Planck Society,de,,,,0,0,,,https://www.mpi-sws.org/~rupak
Thomas Lengauer [INF],Max Planck Society,de,,,,0,0,,,https://bioinf.mpi-inf.mpg.de/homepage/index.php?account=lengauer
Thomas Sturm 0001 [INF],Max Planck Society,de,,,,0,0,,,https://science.thomas-sturm.de
Thorsten Holz [SP],Max Planck Society,de,,,,0,0,,,https://www.mpi-sp.org/holz
Viktor Vafeiadis [SWS],Max Planck Society,de,,,,0,0,,,http://www.mpi-sws.org/~viktor
Yiting Xia [INF],Max Planck Society,de,,,,0,0,,,https://sites.google.com/view/yitingxia
Yixin Zou [SP],Max Planck Society,de,,,,0,0,,,https://yixinzou.github.io
Axel Ngonga,Paderborn University,de,0000-0001-7112-3516,65/4336,orcid,7,5,AAAI;ACL;ECAI;EMNLP;IJCAI;JMLR;WWW,2026,https://cs.upb.de/ds
Axel-Cyrille Ngonga Ngomo,Paderborn University,de,0000-0001-7112-3516,65/4336,orcid,7,5,AAAI;ACL;ECAI;EMNLP;IJCAI;JMLR;WWW,2026,https://cs.upb.de/ds
Carsten Schulte 0001,Paderborn University,de,0000-0002-3009-4904,14/3197-1,orcid,0,0,,,http://cs.upb.de/ddi/person/carsten-schulte
Christian Plessl,Paderborn University,de,0000-0001-5728-9982,76/5938,orcid,0,0,,,https://cs.uni-paderborn.de/hit/team/plessl
Christian Scheideler,Paderborn University,de,0000-0002-5278-528X,s/ChristianScheideler,orcid,0,0,,,http://cs.uni-paderborn.de/ti/personal/prof-dr-rer-nat-christian-scheideler
Eric Bodden,Paderborn University,de,0000-0003-3470-3647,94/5744,orcid,0,0,,,https://www.hni.uni-paderborn.de/swt/mitarbeiter/bodden
Friedhelm Meyer auf der Heide,Paderborn University,de,,h/FMaufderHeide,name,0,0,,,https://www.hni.uni-paderborn.de/alg/mitarbeiter/fmadh
Gitta Domik,Paderborn University,de,,d/GittaDomik,name,0,0,,,https://cs.uni-paderborn.de/cgvb/personal/gitta-domik-kienegger
Gitta Domik-Kienegger,Paderborn University,de,,d/GittaDomik,name,0,0,,,https://cs.uni-paderborn.de/cgvb/personal/gitta-domik-kienegger
Gregor Engels,Paderborn University,de,,e/GregorEngels,name,0,0,,,http://www.upb.de/cs/engels.html
Johannes Blömer,Paderborn University,de,0000-0002-6065-3535,33/2110,orcid,0,0,,,http://cs.uni-paderborn.de/cuk/personal/johannes-bloemer
Juraj Somorovsky,Paderborn University,de,0000-0002-3593-7720,27/8331,orcid,0,0,,,https://www.uni-paderborn.de/person/83504
Lin Wang 0015,Paderborn University,de,0000-0001-7181-6128,17/6729-15,orcid,0,1,WWW,2024,https://linwang.info
Marcel Campen,Paderborn University,de,0000-0003-2340-3462,18/2890,orcid,0,0,,,https://cs.upb.de/cgv
Marco Platzner,Paderborn University,de,0000-0002-6893-063X,68/3728,orcid,1,0,IROS,2023,https://cs.uni-paderborn.de/ceg/team/group/people/platzner
Patricia Arias Cabarcos,Paderborn University,de,0000-0001-7401-6185,13/8970,orcid,0,3,CHI,2026,https://www.uni-paderborn.de/en/person/92804
Roman Dumitrescu,Paderborn University,de,,96/7180,name,0,0,,,http://www.hni.uni-paderborn.de/ase
Sevag Gharibian,Paderborn University,de,,38/1605,name,0,0,,,https://groups.uni-paderborn.de/fg-qi
Stefan Böttcher,Paderborn University,de,,b/StBottcher,name,0,0,,,http://cs.uni-paderborn.de/ecdb
Yasemin Acar,Paderborn University,de,0000-0001-7167-7383,132/9687,orcid,0,2,CHI,2024,https://yaseminacar.de
Bastian Leibe,RWTH Aachen University,de,0000-0003-4225-0051,41/1228,orcid,28,0,CVPR;ECCV;ICCV;ICLR;ICRA;IJCV;IROS;NeurIPS,2025,http://www.vision.rwth-aachen.de/person/1
Bernhard Rumpe,RWTH Aachen University,de,0000-0002-2147-1966,r/BernhardRumpe,orcid,0,0,,,http://www.se-rwth.de/~rumpe
Christof Löding,RWTH Aachen University,de,0000-0002-1529-2806,l/ChristofLoding,orcid,0,0,,,https://www.lics.rwth-aachen.de/cms/lics/der-lehrstuhl/team/dozierende/~ocsx/christof-loeding
Christopher Morris 0001,RWTH Aachen University,de,0000-0002-0465-1068,156/7303,orcid,26,0,AAAI;AISTATS;ICLR;ICML;IJCAI;JMLR;NeurIPS;TMLR,2025,https://chrsmrrs.github.io
Claudia Wagner 0001,RWTH Aachen University,de,,32/4045,name,4,0,EACL;EMNLP;NAACL,2026,http://claudiawagner.info
Dominique Unruh,RWTH Aachen University,de,0000-0001-8965-1931,u/DominiqueUnruh,orcid,0,0,,,http://kodu.ut.ee/~unruh
Erich Grädel,RWTH Aachen University,de,0000-0002-8950-9991,g/ErichGradel,orcid,0,0,,,https://logic.rwth-aachen.de/People/Graedel/index.html.en
Erika Ábrahám,RWTH Aachen University,de,0000-0002-5647-6134,a/ErikaAbraham,orcid,1,0,IJCAI,2025,http://www-i2.informatik.rwth-aachen.de/i2/eab
Erika Ábrahám-Mumm,RWTH Aachen University,de,,a/ErikaAbraham,name,1,0,IJCAI,2025,http://www-i2.informatik.rwth-aachen.de/i2/eab
Gerhard J. Woeginger,RWTH Aachen University,de,,w/GJWoeginger,name,0,0,,,https://www.informatik.rwth-aachen.de/cms/informatik/Fachgruppe/Aktuell/Meldungen/~ukvwk/Trauer-um-Gerhard-Woeginger
Gerhard Johannes Woeginger,RWTH Aachen University,de,,w/GJWoeginger,name,0,0,,,https://www.informatik.rwth-aachen.de/cms/informatik/Fachgruppe/Aktuell/Meldungen/~ukvwk/Trauer-um-Gerhard-Woeginger
Gerhard Lakemeyer,RWTH Aachen University,de,0000-0002-7363-7593,l/GerhardLakemeyer,orcid,10,7,AAAI;AAMAS;ACL;ECAI;ICRA;IJCAI;IROS;KR,2026,http://www-i5.informatik.rwth-aachen.de/gerhard
Hector Geffner,RWTH Aachen University,de,0000-0001-9851-8219,g/HectorGeffner,orcid,7,14,AAAI;ICAPS;IJCAI;KR,2026,https://www-i6.informatik.rwth-aachen.de/~hector.geffner
Hermann Ney,RWTH Aachen University,de,,n/HermannNey,name,20,18,ACL;EMNLP;ICASSP;Interspeech;NAACL,2025,http://www-i6.informatik.rwth-aachen.de/web/Staff/ney
Holger H. Hoos,RWTH Aachen University,de,0000-0003-0629-0099,h/HolgerHHoos,orcid,6,1,AAAI;AAMAS;JMLR,2026,http://hoos.ca
Horst Lichter,RWTH Aachen University,de,0000-0002-3440-1238,l/HorstLichter,orcid,0,0,,,https://www.swc.rwth-aachen.de
Jan Bender,RWTH Aachen University,de,0000-0002-1908-4027,63/2863,orcid,3,0,ICRA;IROS;NeurIPS,2024,https://www.animation.rwth-aachen.de
Jan O. Borchers,RWTH Aachen University,de,0000-0003-1509-3257,b/JOBorchers,orcid,0,19,CHI,2026,https://hci.rwth-aachen.de/borchers
Jan Oliver Borchers,RWTH Aachen University,de,,b/JOBorchers,name,0,19,CHI,2026,https://hci.rwth-aachen.de/borchers
Jian-Jia Chen,RWTH Aachen University,de,0000-0001-8114-9760,70/1961,orcid,3,0,AAAI;NeurIPS;TACL,2026,https://www.informatik.rwth-aachen.de/cms/informatik/forschung/forschungsbereiche/professuren-und-dozierende/~bsvipb/univ-prof-jian-jia-chen-ph-d/?lidx=1
Joost-Pieter Katoen,RWTH Aachen University,de,0000-0002-6143-1926,k/JoostPieterKatoen,orcid,4,0,AAAI;IJCAI;UAI,2025,http://www-i2.informatik.rwth-aachen.de/~katoen
Jürgen Giesl,RWTH Aachen University,de,0000-0003-0283-8520,g/JurgenGiesl,orcid,0,0,,,http://verify.rwth-aachen.de/giesl
Klaus Wehrle,RWTH Aachen University,de,0000-0001-7252-4186,w/KlausWehrle,orcid,0,0,,,https://www.comsys.rwth-aachen.de/team/klaus
Leif Kobbelt,RWTH Aachen University,de,0000-0002-7880-9470,k/LeifKobbelt,orcid,9,0,CVPR;ECCV;ICCV;ICLR;TPAMI,2025,https://www.graphics.rwth-aachen.de
Leif P. Kobbelt,RWTH Aachen University,de,,k/LeifKobbelt,name,9,0,CVPR;ECCV;ICCV;ICLR;TPAMI,2025,https://www.graphics.rwth-aachen.de
Manfred Nagl,RWTH Aachen University,de,0000-0001-6857-1887,n/ManfredNagl,orcid,0,0,,,http://www.se-rwth.de/~nagl
Martin Grohe,RWTH Aachen University,de,0000-0002-0292-9142,g/MGrohe,orcid,10,0,AAAI;ICLR;ICML;IJCAI;JMLR;TMLR,2026,https://www.lics.rwth-aachen.de/cms/LICS/Der-Lehrstuhl/Team/Dozierende/~ocwf/Martin-Grohe
Martin Henze,RWTH Aachen University,de,0000-0001-8717-2523,126/0576,orcid,0,0,,,https://www.martinhenze.de
Martin Hoefer 0001,RWTH Aachen University,de,0000-0003-0131-5605,h/MartinHoefer,orcid,4,3,AAAI;AAMAS;IJCAI,2024,https://algo.rwth-aachen.de/team/hoefer/index.en.shtml
Matthias Jarke,RWTH Aachen University,de,,j/MatthiasJarke,name,0,2,CHI,2022,https://dbis.rwth-aachen.de/dbis/index.php/user/jarke
Matthias S. Müller,RWTH Aachen University,de,0000-0003-2545-5258,13/1808,orcid,0,0,,,http://www.itc.rwth-aachen.de/cms/IT-Center/IT-Center/Team/~epvp/Mitarbeiter-CAMPUS-/?gguid=0xB8B55109186DA749BE27700404DA28D8
Michael T. Schaub,RWTH Aachen University,de,0000-0003-2426-6404,72/10263,orcid,10,11,AISTATS;ICASSP;ICLR;ICML;JMLR;KDD;NeurIPS;TMLR;WWW,2025,https://michaelschaub.github.io
Otto Spaniol,RWTH Aachen University,de,,s/OttoSpaniol,name,0,0,,,https://www.comsys.rwth-aachen.de/team/otto-spaniol
Peter Rossmanith,RWTH Aachen University,de,,r/PeterRossmanith,name,0,0,,,http://tcs.rwth-aachen.de/~rossmani
Ralf Schlüter,RWTH Aachen University,de,,43/2928,name,21,14,ICASSP;Interspeech;NAACL,2025,http://www-i6.informatik.rwth-aachen.de/~schluter
Redha Gouicem,RWTH Aachen University,de,0000-0003-4619-5221,204/3799,orcid,0,0,,,https://redha.gouicem.fr
Sander J. J. Leemans,RWTH Aachen University,de,,131/1671,name,1,0,IJCAI,2023,https://leemans.ch/Sander
Sandra Geisler,RWTH Aachen University,de,,11/103,name,0,0,,,https://dbis.rwth-aachen.de/dbis/index.php/user/sgeisler
Sebastian Trimpe,RWTH Aachen University,de,0000-0002-2785-2487,15/8135,orcid,27,0,AAAI;CoRL;ICLR;ICML;ICRA;IJRR;IROS;NeurIPS;TMLR;TRO,2025,https://www.dsme.rwth-aachen.de/cms/DSME/das-institut/Team/~jlolt/Prof-Sebastian-Trimpe/?allou=1
Stefan Decker,RWTH Aachen University,de,0000-0001-6324-7164,d/StefanDecker,orcid,1,2,AAAI;WWW,2025,http://www.stefandecker.org
Stefan Kowalewski,RWTH Aachen University,de,,k/StefanKowalewski,name,0,0,,,https://embedded.rwth-aachen.de/doku.php?id=en:lehrstuhl:mitarbeiter:kowalewski
Thomas Berlage,RWTH Aachen University,de,,b/ThomasBerlage,name,0,0,,,https://dbis.rwth-aachen.de/dbis/index.php/user/berlage
Thomas Noll,RWTH Aachen University,de,,,,0,0,,,https://moves.rwth-aachen.de/people/noll
Thomas Noll 0001,RWTH Aachen University,de,0000-0002-1865-1798,31/248-1,orcid,0,0,,,https://moves.rwth-aachen.de/people/noll
Thomas Rose 0001,RWTH Aachen University,de,,19/955-1,name,0,0,,,https://dbis.rwth-aachen.de/dbis/index.php/user/rose
Torsten W. Kuhlen,RWTH Aachen University,de,0000-0003-2144-4367,k/TorstenKuhlen,orcid,0,1,CHI,2023,http://www.vr.rwth-aachen.de/person/1
Torsten Wolfgang Kuhlen,RWTH Aachen University,de,0000-0003-2144-4367,k/TorstenKuhlen,orcid,0,1,CHI,2023,http://www.vr.rwth-aachen.de/person/1
Ulrik Schroeder,RWTH Aachen University,de,0000-0002-5178-8497,s/UlrikSchroeder,orcid,0,0,,,http://learntech.rwth-aachen.de/schroeder
Ulrike Meyer,RWTH Aachen University,de,,m/UlrikeMeyer,name,0,0,,,https://www.itsec.rwth-aachen.de/cms/ITSEC/Das-Lehr-und-Forschungsgebiet/Team/~ehrwa/Ulrike-Meyer/?allou=1
Uwe Naumann,RWTH Aachen University,de,,n/UweNaumann,name,0,0,,,https://www.stce.rwth-aachen.de/people/uwe-naumann
Walter Oberschelp,RWTH Aachen University,de,,o/WalterOberschelp,name,0,0,,,https://www.mathematik.rwth-aachen.de/go/id/bkbg/gguid/0x21CDE8D9CE85D51196710000F4B4937D/ikz/11/allou/1/lidx/1
Wil M. P. van der Aalst,RWTH Aachen University,de,,a/WilMPvanderAalst,name,2,1,ECAI;EMNLP;IJCAI,2024,http://www.vdaalst.com
Wolfgang Prinz,RWTH Aachen University,de,,p/WolfgangPrinz,name,0,0,,,https://dbis.rwth-aachen.de/dbis/index.php/user/prinz
Wolfgang Thomas,RWTH Aachen University,de,,t/WolfgangThomas,name,0,0,,,https://www.lics.rwth-aachen.de/cms/LICS/Der-Lehrstuhl/Team/Dozierende/~ocwi/Wolfgang-Thomas/?allou=1
Akash Kumar 0001,Ruhr-University Bochum,de,0000-0001-7125-1737,29/414,orcid,1,0,ICCV,2025,https://etit.ruhr-uni-bochum.de/fakultaet/professorinnen/prof-dr-akash-kumar
Alena Naiakshina,Ruhr-University Bochum,de,0009-0008-1843-2027,201/9227,orcid,0,5,CHI,2026,https://www.besec.uni-bonn.de/index.php/team/alena-naiakshina
Alexander May 0001,Ruhr-University Bochum,de,0000-0001-5965-5675,62/1898,orcid,0,0,,,http://www.cits.rub.de/personen/may.html
Asja Fischer,Ruhr-University Bochum,de,0000-0002-1916-7033,76/8485,orcid,17,3,ACL;AISTATS;CHI;CVPR;EMNLP;ICLR;ICML;NeurIPS;TMLR;TPAMI;UAI,2026,https://www.ruhr-uni-bochum.de/lmi/fischer
Bilal Zafar,Ruhr-University Bochum,de,,62/2663,name,0,0,,,https://informatik.rub.de/zafar
Dirk Jancke,Ruhr-University Bochum,de,0000-0001-8440-6259,38/715,name,0,0,,,https://www.ini.rub.de/the_institute/people/dirk-jancke
Eike Kiltz,Ruhr-University Bochum,de,0000-0003-1178-048X,k/EikeKiltz,orcid,0,0,,,http://kiltz.net
Flavio Toffalini,Ruhr-University Bochum,de,0000-0002-7114-5640,88/9958,orcid,0,0,,,https://flaviotoffalini.info
Ghassan Karame,Ruhr-University Bochum,de,0000-0002-2828-4071,36/1531,orcid,3,1,AAAI;WWW,2026,http://www.ghassankarame.com
Ghassan O. Karame,Ruhr-University Bochum,de,,36/1531,name,3,1,AAAI;WWW,2026,http://www.ghassankarame.com
Gregor Leander,Ruhr-University Bochum,de,0000-0002-2579-8587,90/4585,orcid,0,0,,,http://www.crypto.rub.de/staff/leander.html.en
Gregor Schöner,Ruhr-University Bochum,de,0000-0002-4776-9998,s/GregorSchoner,orcid,1,0,IROS,2024,https://www.ini.rub.de/the_institute/people/gregor-schoner
Ivan Habernal,Ruhr-University Bochum,de,0000-0002-0990-4554,92/49,orcid,9,4,ACL;EACL;EMNLP;NAACL,2026,https://www.trusthlt.org
Julian Loss,Ruhr-University Bochum,de,0000-0002-7979-3810,184/3870,orcid,0,0,,,https://www.julianloss.com
Jörg Schwenk,Ruhr-University Bochum,de,0000-0001-9315-7354,58/5730,orcid,0,0,,,http://nds.rub.de/chair/people/joerg-schwenk
Karola Marky,Ruhr-University Bochum,de,0000-0001-7129-9642,179/7489,orcid,0,13,CHI,2026,https://karolamarky.pinyto.de/en/home
Katharina Kohls,Ruhr-University Bochum,de,,155/5132,name,0,0,,,https://kkohls.info
Kevin Borgolte,Ruhr-University Bochum,de,0000-0001-7427-7852,136/8461,name,0,0,,,https://kevin.borgolte.me
Laurenz Wiskott,Ruhr-University Bochum,de,0000-0001-6237-740X,61/4046,orcid,0,0,,,https://www.ini.rub.de/PEOPLE/wiskott
M. Angela Sasse,Ruhr-University Bochum,de,0000-0003-1823-5505,s/MASasse,orcid,0,4,CHI,2026,https://www.ei.ruhr-uni-bochum.de/fakultaet/personen/sasse
Maike Buchin,Ruhr-University Bochum,de,0000-0002-3446-4343,41/2907,orcid,0,0,,,https://www.ruhr-uni-bochum.de/lmi/buchin
Maike Walther,Ruhr-University Bochum,de,,41/2907,name,0,0,,,https://www.ruhr-uni-bochum.de/lmi/buchin
Martina Angela Sasse,Ruhr-University Bochum,de,0000-0003-1823-5505,s/MASasse,orcid,0,4,CHI,2026,https://www.ei.ruhr-uni-bochum.de/fakultaet/personen/sasse
Michael Walter 0005,Ruhr-University Bochum,de,0000-0002-3073-1408,66/2288-5,orcid,0,0,,,https://qi.ruhr-uni-bochum.de/walter
Nils Fleischhacker,Ruhr-University Bochum,de,0000-0002-2770-5444,78/10700,orcid,0,0,,,https://www.crypto.ruhr-uni-bochum.de/staff/fleischhacker.html.en
Nils Gregor Leander,Ruhr-University Bochum,de,,90/4585,name,0,0,,,http://www.crypto.rub.de/staff/leander.html.en
Nils Jansen 0001,Ruhr-University Bochum,de,0000-0003-1318-8973,32/8421-1,orcid,20,5,AAAI;AAMAS;ECAI;ICAPS;ICLR;IJCAI;NeurIPS;RSS;UAI,2025,https://nilsjansen.org
Rebekah Overdorf,Ruhr-University Bochum,de,0000-0003-3462-9539,62/10989,orcid,0,1,WWW,2021,https://informatik.rub.de/overdorf
Sen Cheng,Ruhr-University Bochum,de,,37/2990,name,0,0,,,https://www.ini.rub.de/the_institute/people/sen-cheng
Setareh Maghsudi,Ruhr-University Bochum,de,,30/10806,name,8,6,AISTATS;ECAI;ICASSP;ICLR;ICML;IJCAI;TMLR,2026,https://etit.ruhr-uni-bochum.de/en/lts/team/prof-dr-ing-setareh-maghsudi
Steffen Bondorf,Ruhr-University Bochum,de,0000-0002-0483-5107,64/9385,orcid,0,0,,,http://steffenbondorf.com
Thomas Zeume,Ruhr-University Bochum,de,0000-0002-5186-7507,34/7233,orcid,0,1,KR,2026,https://informatik.rub.de/zeume
Thorsten Berger,Ruhr-University Bochum,de,0000-0002-3870-5167,22/6472,name,1,0,IROS,2022,https://www.chalmers.se/en/staff/Pages/bergert.aspx
Tim A. Majchrzak,Ruhr-University Bochum,de,0000-0003-2581-9285,03/7451,orcid,0,0,,,https://informatik.rub.de/majchrzak
Tim Erhan Güneysu,Ruhr-University Bochum,de,,50/6307,name,0,0,,,http://www.seceng.rub.de/chair/staff/gueneysu
Tim Güneysu,Ruhr-University Bochum,de,0000-0002-3293-4989,50/6307,orcid,0,0,,,http://www.seceng.rub.de/chair/staff/gueneysu
Timo Hönig,Ruhr-University Bochum,de,,75/10868,name,0,0,,,https://www4.cs.fau.de/~thoenig
Tobias Glasmachers,Ruhr-University Bochum,de,,79/6604,name,0,0,,,https://www.ini.rub.de/the_institute/people/tobias-glasmachers
Veelasha Moonsamy,Ruhr-University Bochum,de,,20/11342,name,0,0,,,https://www.veelasha.org
Yannic Noller,Ruhr-University Bochum,de,0000-0002-9318-8027,214/0370,orcid,0,0,,,https://yannicnoller.github.io
Yuval Yarom,Ruhr-University Bochum,de,0000-0003-0401-4197,90/10901,orcid,0,0,,,https://yuval.yarom.org
Alexander Koller,Saarland University,de,0000-0002-5317-6689,52/3406,orcid,18,4,ACL;EACL;EMNLP;ICLR;NAACL,2025,http://www.coli.uni-saarland.de/~koller
Alexey A. Gurevich,Saarland University,de,0000-0002-5855-3519,122/8781,orcid,0,0,,,https://saarland-informatics-campus.de/forschung-research/computational-biology-and-life-sciences
Andrea Volkamer,Saarland University,de,0000-0002-3760-580X,117/4213,orcid,0,0,,,https://volkamerlab.org/team
Andreas Keller,Saarland University,de,0000-0002-5361-0895,29/6542,name,0,0,,,http://www.ccb.uni-saarland.de/people/prof-dr-andreas-keller
Anna Maria Feit,Saarland University,de,0000-0003-4168-6099,128/9269,orcid,0,3,CHI,2026,http://annafeit.de
Antonio Krüger,Saarland University,de,0000-0002-8055-8367,k/AntonioKruger,orcid,4,14,ACL;CHI;EMNLP;IROS;KR,2026,http://umtl.cs.uni-saarland.de/people/prof.-dr.-antonio-kr%C3%BCger.html
Benjamin Lucien Kaminski,Saarland University,de,0000-0001-5185-2324,39/9937,orcid,0,0,,,https://quave.cs.uni-saarland.de/benjamin-kaminski
Dietrich Klakow,Saarland University,de,0000-0002-4147-9690,00/1846,orcid,46,11,AAAI;ACL;CHI;EACL;EMNLP;ICASSP;ICLR;ICML;Interspeech;NAACL;TACL,2026,https://www.lsv.uni-saarland.de/?id=38
Gert Smolka,Saarland University,de,0000-0001-8801-9379,s/GertSmolka,name,0,0,,,http://www.ps.uni-saarland.de/~smolka
Hans-Peter Lenhof,Saarland University,de,,l/HPLenhof,name,0,0,,,https://www.bioinf.uni-sb.de/people/prof-dr-hans-peter-lenhof.html
Holger Hermanns,Saarland University,de,0000-0002-2766-9615,h/HolgerHermanns,orcid,2,1,AAAI;KR,2026,http://depend.cs.uni-saarland.de/index.php?hermanns&L=1
Ingmar Weber,Saarland University,de,0000-0003-4169-2579,w/IngmarWeber,orcid,1,3,TPAMI;WWW,2026,https://ingmarweber.de
Isabel Valera,Saarland University,de,0000-0002-6440-4376,126/1768,name,12,1,AAAI;EMNLP;ICLR;ICML;NeurIPS;TMLR,2026,https://ivaleram.github.io
Jan Reineke 0001,Saarland University,de,0000-0002-3459-2214,67/3331,orcid,0,0,,,http://embedded.cs.uni-saarland.de/reineke.php
Jana Koehler,Saarland University,de,,j/JanaKoehler,name,0,0,,,https://www.dfki.de/en/web/about-us/employee/person/jako01
Jana Köhler,Saarland University,de,,j/JanaKoehler,name,0,0,,,https://www.dfki.de/en/web/about-us/employee/person/jako01
Jens Dittrich,Saarland University,de,0000-0003-1015-804X,d/JensPeterDittrich,orcid,0,0,,,https://infosys.cs.uni-saarland.de/people/dittrich.php
Jens-Peter Dittrich,Saarland University,de,,d/JensPeterDittrich,name,0,0,,,https://infosys.cs.uni-saarland.de/people/dittrich.php
Joachim Weickert,Saarland University,de,0000-0002-8494-0045,w/JoachimWeickert,orcid,1,3,ICASSP;ICML,2024,http://www.mia.uni-saarland.de/weickert/index.shtml
Josef van Genabith,Saarland University,de,0000-0003-1322-7944,82/3447,name,18,5,ACL;EACL;EMNLP;NAACL,2026,https://www.dfki.de/web/ueber-uns/mitarbeiter/person/jova02
Jörg H. Siekmann,Saarland University,de,,s/JorgHSiekmann,name,0,0,,,http://siekmann.dfki.de/en/home-2
Jörg Hoffmann 0001,Saarland University,de,0000-0003-1590-5876,26/836,orcid,14,18,AAAI;ECAI;ICAPS;IJCAI;KR,2026,http://fai.cs.uni-saarland.de/hoffmann
Jürgen Steimle,Saarland University,de,0000-0003-3493-8745,22/3976,orcid,1,27,CHI;ICRA;SIGGRAPH,2026,https://hci.cs.uni-saarland.de/people/juergen-steimle
Manfred Pinkal,Saarland University,de,,63/2723,name,0,0,,,http://www.coli.uni-saarland.de/~pinkal/en/page.php
Maria Isabel Valera Martinez,Saarland University,de,,126/1768,name,12,1,AAAI;EMNLP;ICLR;ICML;NeurIPS;TMLR,2026,https://ivaleram.github.io
Markus Bläser,Saarland University,de,,95/6062,name,9,0,AAAI;AISTATS;ICLR;ICML;IJCAI;NeurIPS,2025,http://www-cc.cs.uni-saarland.de/mblaeser
Martina Maggio,Saarland University,de,0000-0002-1143-1127,02/8575,orcid,0,0,,,http://www.martinamaggio.com/main
Michael Hahn 0001,Saarland University,de,0000-0003-4828-4834,44/9903,orcid,15,1,ACL;EACL;EMNLP;ICLR;ICML;NeurIPS;TACL;TMLR,2026,https://www.mhahn.info
Peter Ochs,Saarland University,de,,50/10771,name,6,0,AISTATS;ICML;JMLR,2025,https://www.mop.uni-saarland.de/people/ochs/index.shtml
Philipp Slusallek,Saarland University,de,0000-0002-2189-2429,s/PhilippSlusallek,orcid,6,8,ACL;CVPR;ECCV;EMNLP;ICCV;NAACL;SIGGRAPH,2026,https://graphics.cg.uni-saarland.de/slusallek
Raimund Seidel,Saarland University,de,,s/RaimundSeidel,name,1,0,AAAI,2023,http://www-tcs.cs.uni-saarland.de
Reinhard Wilhelm,Saarland University,de,,w/ReinhardWilhelm,name,0,0,,,http://rw4.cs.uni-saarland.de/people/wilhelm.shtml
Sebastian Hack,Saarland University,de,0000-0002-3387-2134,96/92,orcid,0,0,,,http://compilers.cs.uni-saarland.de/people/hack
Sven Apel,Saarland University,de,0000-0003-3687-2233,a/SvenApel,orcid,0,0,,,https://www.se.cs.uni-saarland.de/apel
Sven Rahmann,Saarland University,de,0000-0002-8536-6065,r/SvenRahmann,orcid,0,1,RECOMB,2024,https://www.rahmannlab.de/people/rahmann
Thorsten Herfet,Saarland University,de,,10/1642,name,0,0,,,http://www.nt.uni-saarland.de/en/people/staff/thorsten-herfet
Tomohiro Nagashima,Saarland University,de,,233/3181,name,0,2,CHI,2025,https://tomonag.org
Vera Demberg,Saarland University,de,0000-0002-8834-0020,80/3304,orcid,24,4,ACL;CVPR;EACL;EMNLP;Interspeech;NAACL;NeurIPS;TACL;TMLR,2026,http://www.coli.uni-saarland.de/~vera
Vera Demberg-Winterfors,Saarland University,de,,80/3304,name,24,4,ACL;CVPR;EACL;EMNLP;Interspeech;NAACL;NeurIPS;TACL;TMLR,2026,http://www.coli.uni-saarland.de/~vera
Verena Wolf 0001,Saarland University,de,0000-0001-8460-6007,04/6065,orcid,0,0,,,https://mosi.uni-saarland.de/?page_id=53
Volkhard Helms,Saarland University,de,0000-0002-2180-9154,07/4910,orcid,0,0,,,http://gepard.bioinformatik.uni-saarland.de/Members/helms/contact
Wolfgang J. Paul,Saarland University,de,,15/1572,name,0,0,,,http://www-wjp.cs.uni-saarland.de/leute/individuum.php?person=1&lang=en
Wolfgang Maass 0002,Saarland University,de,,m/WolfgangMaass2,name,4,0,IJCAI;NAACL,2025,http://iss.uni-saarland.de/de/team/detail/wolfgang/maass
Wolfgang Maaß 0002,Saarland University,de,,m/WolfgangMaass2,name,4,0,IJCAI;NAACL,2025,http://iss.uni-saarland.de/de/team/detail/wolfgang/maass
Wolfgang Wahlster,Saarland University,de,,w/WolfgangWahlster,name,0,0,,,http://w5.cs.uni-saarland.de/staff/show/wahlster
Andreas Lehrmann,THWS,de,,329/6365,name,1,0,TMLR,2024,https://fiw.thws.de/fakultaet/personen/person/prof-dr-andreas-lehrmann
