name,core_papers,sources,dblp_current,status,reason_code,reason
Wolfgang Hönig,12,de-tu-berlin;csrankings,,include,,on an institution directory here; no corroborating DBLP affiliation note
Andreas Loukas,12,,"Swiss Federal Institute of Technology in Lausanne, Switzerland",exclude,E08,DBLP labels the affiliation former
Robert A. Vandermeulen,11,,"TU Berlin, Germany",queue,,current DBLP affiliation here but on no institution directory
Linh Kästner,11,,"National University Singapore|TU Berlin, Germany",exclude,E08,DBLP's primary current affiliation is National University Singapore; on none of the local directories
David Martínez-Rubio,11,,"Zuse Institute Berlin (ZIB), Laboratory for Interactive Optimization and Learning, Germany|TU Berlin, Germany|University",exclude,E08,CSRankings files them at IMDEA Software Institute (es)
Matt Post,11,,"Microsoft, Redmond, WA, USA|University of Rochester, Department of Computer Science, Rochester, NY, USA",exclude,E08,DBLP labels the affiliation former
Pascal Lenzner,11,,"Hasso Plattner Institute, Potsdam, Germany|Humboldt University of Berlin, Department of Computer Science, Germany",exclude,E08,CSRankings files them at University of Augsburg (de)
Andrzej Kaczmarczyk 0001,10,,"Czech Technical University in Prague, Czech Republic",exclude,E02,DBLP records this as the PhD institution ()
Frank Noé,10,de-freie-universitaet-berlin;csrankings,,include,,on an institution directory here; no corroborating DBLP affiliation note
Jens Lambrecht,10,csrankings,,include,,on an institution directory here; no corroborating DBLP affiliation note
Peter Eisert,10,de-humboldt-university-of-berlin;csrankings,"Humboldt University of Berlin, Germany",include,,on an institution directory here
Gabriele Steidl,9,de-tu-berlin,"TU Berlin, Institute of Mathematics, Germany|University of Kaiserslautern, Germany",include,,on an institution directory here
Pan Hui 0001,9,,"University of Helsinki, Department of Computer Science, Finland|Hong Kong University of Science and Technology, Departme",exclude,E08,CSRankings files them at University of Helsinki (fi)
Nuria Oliver,9,,"ELLIS Unit Alicante Foundation, Alicante, Spain|Vodafone Insitute, Berlin, Germany",exclude,E08,DBLP's primary current affiliation is ELLIS Unit Alicante Foundation; on none of the local directories
Jiehua Chen 0001,9,,"Technische Universität Wien, Austria",exclude,E08,CSRankings files them at TU Wien (at)
Grégoire Montavon,9,de-bifold,"Charité Berlin, Germany|TU Berlin, Institute of Software Engineering and Theoretical Computer Science, Germany",include,,on an institution directory here
Leon Kellerhals,8,,"TU Clausthal, Germany",exclude,E08,DBLP labels the affiliation former
Lei Xie 0007,8,,"Zhejiang University, State Key Laboratory of Industrial Control Technology, Hangzhou, China|Berlin University of Technol",exclude,E08,DBLP's primary current affiliation is Zhejiang University; on none of the local directories
Stefan Harmeling,8,,"Technische Universität Dortmund, Dortmund, Germany",exclude,E08,CSRankings files them at TU Dortmund (de)
Thomas Seel,8,,"Leibniz Universität Hannover, Hanover, Germany",exclude,E08,DBLP labels the affiliation former
Julia Stoyanovich,7,de-bifold,,queue,,"on a local directory, but DBLP's current affiliation is New York University"
Thomas Wiegand 0001,7,de-bifold;de-tu-berlin;csrankings,"Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute (HHI), Berlin, Germany|TU Berlin, Department of Te",include,,on an institution directory here
Jan E. Gerken,6,,"Chalmers University of Technology, Gothenburg, Sweden|University of Gothenburg, Sweden",exclude,E08,DBLP labels the affiliation former
Artem Sokolov 0001,6,,"Google DeepMind|Heidelberg University, Department of Computational Linguistics, Heidelberg, Germany|Amazon Development C",exclude,E08,DBLP's primary current affiliation is Google DeepMind; on none of the local directories
Tim Landgraf,6,de-freie-universitaet-berlin;csrankings,,include,,on an institution directory here; no corroborating DBLP affiliation note
Alexander Keller 0001,6,,"NVIDIA Corporation, Berlin, Germany|University of Ulm, UZWR, Germany|University of Kaiserslautern, Department of Compute",queue,,current DBLP affiliation here but on no institution directory
Cheng Wang 0002,6,,"Amazon, Berlin, Germany|NEC Laboratories Europe GmbH, Heidelberg, Germany",queue,,current DBLP affiliation here but on no institution directory
Ronny Hänsch,5,,"TU Berlin, Germany",queue,,current DBLP affiliation here but on no institution directory
Alexander Binder,5,,"Technical University of Berlin, Department of Mathematics, Germany",exclude,E08,CSRankings files them at University of Magdeburg (de)
Matthias W. Seeger,5,,"Amazon Development Center Germany, Berlin|École Polytechnique Fédérale de Lausanne, School of Computer and Communication",queue,,current DBLP affiliation here but on no institution directory
Alexander Löser,5,,"Beuth University of Applied Sciences, DATEXIS, Berlin, Germany|TU Berlin, DIMA, Germany",queue,,current DBLP affiliation here but on no institution directory
Karsten Müller 0001,5,,"Fraunhofer Heinrich Hertz Institute, Berlin, Germany",queue,,current DBLP affiliation here but on no institution directory
Ute Schmid,5,,"University of Bamberg, Faculty Information Systems and Applied Computer Sciences, Germany|University of Osnabrück, Insti",exclude,E08,CSRankings files them at University of Bamberg (de)
Yi Cai 0005,4,,"Freie Universität Berlin, Germany|Leibniz Universität Hannover, L3S Research Center, Germany",queue,,current DBLP affiliation here but on no institution directory
Shuang Guo 0003,4,,"TU Berlin, Germany",queue,,current DBLP affiliation here but on no institution directory
Marc Alexa,4,de-tu-berlin;csrankings,"TU Berlin, Department of Computer Engineering and Microelectronics, Germany",include,,on an institution directory here
Christoph Spiegel 0002,4,,"Zuse Institute, Berlin, Germany",queue,,current DBLP affiliation here but on no institution directory
Vera Schmitt,4,,"Technische Universität Berlin, Quality and Usability Lab, Berlin, Germany",queue,,current DBLP affiliation here but on no institution directory
Manfred Opper,4,de-bifold;de-tu-berlin;csrankings,"Technical University of Berlin, Department of Mathematics, Germany",include,,on an institution directory here
Olaf Hellwich,4,de-tu-berlin;csrankings,"Technical University of Berlin, Germany",include,,on an institution directory here
Patrick Haller 0002,4,,"Humboldt University of Berlin, Germany",queue,,current DBLP affiliation here but on no institution directory
Till Fluschnik,4,,"HU Berlin, Germany|TU Clausthal, Germany",queue,,current DBLP affiliation here but on no institution directory
Gerhard Wunder,4,de-freie-universitaet-berlin;csrankings,"Free University of Berlin, Institute of Computer Science, Germany",include,,on an institution directory here
Adrian Paschke,4,de-freie-universitaet-berlin;csrankings,"Free University of Berlin, Germany",include,,on an institution directory here
Martin Skutella,4,de-tu-berlin;csrankings,"TU Berlin, Germany",include,,on an institution directory here
Henning Sprekeler,4,de-tu-berlin;csrankings,,include,,on an institution directory here; no corroborating DBLP affiliation note
Pascal Kunz 0001,4,,"Humboldt-Universität zu Berlin, Germany|Technische Universität Berlin, Germany",queue,,current DBLP affiliation here but on no institution directory
Shuhao Zhang 0001,4,,"Singapore University of Technology and Design, Singapore|Technische Universität Berlin, Berlin, Germany",exclude,E08,DBLP's primary current affiliation is Singapore University of Technology and Design; on none of the local directories
Tansu Alpcan,3,,"University of Melbourne, Dept. of Electrical and Electronic Engineering, Australia|Technical University of Berlin, Germa",exclude,E08,DBLP's primary current affiliation is University of Melbourne; on none of the local directories
Georg Rehm,3,de-dfki-be,"DFKI GmbH, Speech and Language Technology Lab, Berlin, Germany",include,,on an institution directory here
Dorothea Kolossa,3,de-tu-berlin,"Technische Universität Berlin, Germany",include,,on an institution directory here
Roland Roller,3,,"German Research Center for Artificial Intelligence (DFKI), Berlin, Germany",queue,,current DBLP affiliation here but on no institution directory
Yang Liu 0144,3,,"Potsdam Institute for Climate Impact Research, Potsdam Institute for Climate Impact Research, Germany|Technical Universi",exclude,E08,DBLP's primary current affiliation is Potsdam Institute for Climate Impact Research; on none of the local directories
Robert T. Lange,3,,"Sakana.AI, Tokyo, Japan|Technical University of Berlin, Germany",exclude,E08,DBLP's primary current affiliation is Sakana.AI; on none of the local directories
Matthias Weidlich 0001,3,,"Humboldt-University Berlin, Germany",exclude,E08,CSRankings files them at Hasso Plattner Institute (de)
Ralf Herbrich,3,,"Amazon Inc., Berlin",exclude,E08,CSRankings files them at Hasso Plattner Institute (de)
Nicole Mücke,3,,"MATH+ - Berlin Mathematics Research Center, Germany|Technical University of Berlin, Institute of Mathematics, Germany|Un",queue,,current DBLP affiliation here but on no institution directory
Frederick Klauschen,3,de-bifold,,include,,on an institution directory here; no corroborating DBLP affiliation note
Max Klimm,3,,,exclude,E08,DBLP labels the affiliation former
Sándor P. Fekete,3,,"TU Braunschweig, Institute of Operating Systems and Computer Networks, Germany",exclude,E08,CSRankings files them at TU Braunschweig (de)
Georg Loho,3,,"FU Berlin, Germany|University of Twente, The Netherlands",queue,,current DBLP affiliation here but on no institution directory
Christian Wressnegger,3,de-bifold,,queue,,"on a local directory, but DBLP's current affiliation is Karlsruhe Institute of Technology"
Stefan Mengel,3,,"CNRS, CRIL, Lens, France|École Polytechnique, LIX, Palaiseau, France|TU Berlin, Department of Mathematics, Germany|Unive",exclude,E08,DBLP's primary current affiliation is CNRS; on none of the local directories
Robin Chan 0001,3,,"Technical University of Berlin, Germany|Bielefeld University, Germany",queue,,current DBLP affiliation here but on no institution directory
Danh Le Phuoc,3,,"Technical University Berlin, Germany",queue,,current DBLP affiliation here but on no institution directory
Dagmar Kainmüller,2,,"MDC Berlin, Berlin, Germany",queue,,current DBLP affiliation here but on no institution directory
Sara Atito Ali Ahmed,1,,"University of Surrey, Centre for Vision, Speech and Signal Processing, CVSSP, Guildford, UK|Nile University, Egypt|TU Be",exclude,E08,DBLP's primary current affiliation is University of Surrey; on none of the local directories
Daniel Göhring,1,csrankings;csrankings,"FU Berlin, Dahlem Center for Machine Learning and Robotics, Germany|University of California at Berkeley, International ",include,,on an institution directory here
