name,affiliation,country,homepage,scholarid,orcid
Klaus Meer,Brandenburg Univ. of Technology,de,https://www.b-tu.de/fg-theoretische-informatik/team/lehrstuhlinhaber,NOSCHOLARPAGE,0009-0009-6367-2422
Michael Hübner,Brandenburg Univ. of Technology,de,https://www.b-tu.de/en/fg-technische-informatik/team/professor,0U6y9RoAAAAJ,
Monika Heiner,Brandenburg Univ. of Technology,de,https://www-dssz.informatik.tu-cottbus.de/DSSZ/Main/MonikaHeiner,UseozQIAAAAJ,0000-0003-1815-1205
Peter Langendörfer,Brandenburg Univ. of Technology,de,https://www.b-tu.de/fg-sicherheit-in-pervasiven-systemen/team/professor,giUyxgYAAAAJ,
Petra Hofstedt,Brandenburg Univ. of Technology,de,https://www.b-tu.de/fg-programmiersprachen-compilerbau/team/professorin/petra-hofstedt,NOSCHOLARPAGE,
Rolf Kraemer,Brandenburg Univ. of Technology,de,https://www.b-tu.de/fg-systeme/team/professor,-rT-Qp0AAAAJ,
Andreas Karcher,Bundeswehr University Munich,de,https://www.unibw.de/ia,NOSCHOLARPAGE,
Arno Rüdiger Wacker,Bundeswehr University Munich,de,https://www.unibw.de/anwendungssicherheit/univ-prof-dr-arno-wacker,zq79YP0AAAAJ,
Arno Wacker,Bundeswehr University Munich,de,https://www.unibw.de/anwendungssicherheit/univ-prof-dr-arno-wacker,zq79YP0AAAAJ,
Cornelius Greither,Bundeswehr University Munich,de,https://www.unibw.de/timor/mitarbeiter/greither/univ-prof-dr-cornelius-greither,NOSCHOLARPAGE,
Daniel Slamanig,Bundeswehr University Munich,de,https://www.unibw.de/crypto-en,DoAyhP4AAAAJ,0000-0002-4181-2561
Eirini Ntoutsi,Bundeswehr University Munich,de,https://aiml-research.github.io,RdA9uxYAAAAJ,0000-0001-5729-1003
Gabi Dreo,Bundeswehr University Munich,de,https://www.unibw.de/technische-informatik/mitarbeiter/professoren/univ-prof-in-dr-gabi-dreo-rodosek,NOSCHOLARPAGE,
Gabi Dreo Rodosek,Bundeswehr University Munich,de,https://www.unibw.de/technische-informatik/mitarbeiter/professoren/univ-prof-in-dr-gabi-dreo-rodosek,NOSCHOLARPAGE,
Gunnar Teege,Bundeswehr University Munich,de,http://www.unibw.de/gunnar.teege,NOSCHOLARPAGE,
Helmut Mayer 0001,Bundeswehr University Munich,de,https://www.unibw.de/inf4/mitarbeiter/univ-prof-dr-ing-helmut-mayer,f_n9lOIAAAAJ,0000-0002-9439-2695
Klaus Buchenrieder,Bundeswehr University Munich,de,https://www.unibw.de/technische-informatik/mitarbeiter/professoren/univ-prof-ph-d-klaus-buchenrieder,NOSCHOLARPAGE,0009-0003-6227-5122
Klaus J. Buchenrieder,Bundeswehr University Munich,de,https://www.unibw.de/technische-informatik/mitarbeiter/professoren/univ-prof-ph-d-klaus-buchenrieder,NOSCHOLARPAGE,
Mark Manulis,Bundeswehr University Munich,de,http://manulis.eu,MdmQAVkAAAAJ,0000-0002-1512-9670
Mark Minas,Bundeswehr University Munich,de,https://www.unibw.de/inf2/personen/professoren/minas,NOSCHOLARPAGE,
Markus Siegle,Bundeswehr University Munich,de,https://www.unibw.de/technische-informatik/mitarbeiter/professoren/siegle/entwurf-von-rechen-und-kommunikationssystemen,Sdh-toEAAAAJ,0000-0001-7639-2280
Michael Koch 0001,Bundeswehr University Munich,de,http://www.unibw.de/michael.koch,knY18cEAAAAJ,0000-0002-9694-6946
Oliver Rose,Bundeswehr University Munich,de,https://www.unibw.de/technische-informatik/mitarbeiter/professoren/univ-prof-dr-oliver-rose,CJqlQKQAAAAJ,
Peter Hertling,Bundeswehr University Munich,de,https://www.unibw.de/timor/mitarbeiter/hertling/univ-prof-dr-peter-hertling,NOSCHOLARPAGE,
Stefan Brunthaler 0001,Bundeswehr University Munich,de,https://www.unibw.de/systemsicherheit/univ-prof-dr-stefan-brunthaler,8PPYUEQAAAAJ,0000-0001-9766-4871
Stefan Pickl,Bundeswehr University Munich,de,https://www.unibw.de/comtessa,NOSCHOLARPAGE,
Stefan Wolfgang Pickl,Bundeswehr University Munich,de,https://www.unibw.de/comtessa,NOSCHOLARPAGE,
Ulrike Lechner,Bundeswehr University Munich,de,https://www.unibw.de/wirtschaftsinformatik,OzCAdaMAAAAJ,
Uwe M. Borghoff,Bundeswehr University Munich,de,https://www.unibw.de/inf2/personen/professoren/borghoff,Xn-P8FwAAAAJ,0000-0002-7688-2367
Vasco Brattka,Bundeswehr University Munich,de,http://theory.cca-net.de/vasco.php,BlPeOrIAAAAJ,
Wolfgang Hommel,Bundeswehr University Munich,de,https://www.unibw.de/inf2/personen/professoren/hommel,LCsesngAAAAJ,
Wolfgang Reinhardt 0002,Bundeswehr University Munich,de,https://websrv.rz.unibw-muenchen.de/inf4/professuren/geoinformatik/index_html,Xar_GqcAAAAJ,
A. Giray Yaglikçi,CISPA Helmholtz Center,de,https://agyaglikci.github.io,mt15O64AAAAJ,0000-0002-9333-6077
Adam Dziedzic,CISPA Helmholtz Center,de,https://adam-dziedzic.com,MRk-A4YAAAAJ,0000-0001-9786-2296
Adam Kortylewski,CISPA Helmholtz Center,de,https://cispa.de/de/people/c01adko,tRLUOBIAAAAJ,0000-0002-9146-4403
Ali Abbasi 0002,CISPA Helmholtz Center,de,https://ali-abbasi.info,7BgdiU4AAAAJ,0000-0003-4220-6560
Ana-Maria Cretu 0002,CISPA Helmholtz Center,de,https://ana-mariacretu.github.io,1iDGOKUAAAAJ,0000-0002-9009-7381
Andreas Zeller,CISPA Helmholtz Center,de,https://andreas-zeller.info,-Qytr_YAAAAJ,0000-0003-4719-8803
Andrew Lowy,CISPA Helmholtz Center,de,https://sites.google.com/view/andrewlowy,psRFdtUAAAAJ,0009-0001-9893-5669
Antoine Joux,CISPA Helmholtz Center,de,https://cispa.saarland/people/c01anjo,BG9yVCMAAAAJ,0000-0003-2682-6508
Aurore Fass,CISPA Helmholtz Center,de,https://aurore54f.github.io,NuD8rUoAAAAJ,0000-0001-6611-4447
Ben Stock,CISPA Helmholtz Center,de,https://people.cispa.io/ben.stock,_hDa-5wAAAAJ,0000-0001-9659-0700
Benjamin Stock,CISPA Helmholtz Center,de,https://people.cispa.io/ben.stock,_hDa-5wAAAAJ,
Bernd Finkbeiner,CISPA Helmholtz Center,de,https://www.react.uni-saarland.de/people/finkbeiner.html,mSwHrYMAAAAJ,0000-0002-4280-8441
Cas Cremers,CISPA Helmholtz Center,de,https://cispa.saarland/people/cas.cremers,3uT_2lcAAAAJ,0000-0003-0322-2293
Cas J. F. Cremers,CISPA Helmholtz Center,de,https://cispa.saarland/people/cas.cremers,3uT_2lcAAAAJ,
Christian Rossow,CISPA Helmholtz Center,de,https://christian-rossow.de,lNn4hRMAAAAJ,0000-0003-2470-8444
Christoph Lenzen 0001,CISPA Helmholtz Center,de,https://cispa.de/en/people/c01chle,9Y9je40AAAAJ,0000-0002-3290-0674
Cristian-Alexandru Staicu,CISPA Helmholtz Center,de,https://www.staicu.org,JmpDeRQAAAAJ,0000-0002-6542-2226
Doreen Riepel,CISPA Helmholtz Center,de,https://doreenriepel.me,H475kXsAAAAJ,0000-0002-4990-0929
Dániel Marx,CISPA Helmholtz Center,de,https://cispa.saarland/people/c01dama,hY2ibr8AAAAJ,0000-0002-5686-8314
Franziska Boenisch,CISPA Helmholtz Center,de,https://franziska-boenisch.de,jKY0y8gAAAAJ,0000-0002-2111-2234
Giancarlo Pellegrino,CISPA Helmholtz Center,de,https://people.cispa.io/giancarlo.pellegrino,PC_RNUcAAAAJ,0009-0007-6223-8945
Jane Im,CISPA Helmholtz Center,de,https://imjane.net,JAVUxl0AAAAJ,0000-0002-9614-6535
Jilles Vreeken,CISPA Helmholtz Center,de,http://people.mmci.uni-saarland.de/~jilles,p5HEQfIAAAAJ,0000-0002-2310-2806
Jonas Hielscher,CISPA Helmholtz Center,de,https://jhielscher.de,UvcKg4kAAAAJ,0000-0002-5159-3868
Katharina Krombholz,CISPA Helmholtz Center,de,https://cispa.saarland/people/katharina.krombholz,BkeawyUAAAAJ,0000-0003-2425-3013
Krikamol Muandet,CISPA Helmholtz Center,de,http://www.krikamol.org,E2z5uYsAAAAJ,0000-0002-4182-5282
Lea Schönherr,CISPA Helmholtz Center,de,https://leaschoenherr.me,DtLfiGoAAAAJ,0000-0003-3779-7781
Lucjan Hanzlik,CISPA Helmholtz Center,de,https://cispa.saarland/people/lucjan.hanzlik,xV54a20AAAAJ,0009-0006-1941-693X
Mario Fritz,CISPA Helmholtz Center,de,https://cispa.saarland/people/gallery,4V1nNm4AAAAJ,0000-0001-8949-9896
Maximilian Golla,CISPA Helmholtz Center,de,https://maximiliangolla.com,FC0ACFUAAAAJ,0000-0003-2204-2132
Michael Backes 0001,CISPA Helmholtz Center,de,https://cispa.de/en/people/backes,ZVS3KOEAAAAJ,0000-0002-7130-9211
Michael Pradel,CISPA Helmholtz Center,de,http://software-lab.org/people/Michael_Pradel.html,V-850TAAAAAJ,0000-0003-1623-498X
Michael Schwarz 0001,CISPA Helmholtz Center,de,https://cispa.de/en/people/c02misc,2HPadJUAAAAJ,0000-0001-6744-3410
Moritz Schloegel,CISPA Helmholtz Center,de,https://mschloegel.me,7mj_0q8AAAAJ,0000-0003-1630-1687
Mridula Singh,CISPA Helmholtz Center,de,https://cispa.de/en/people/c01mrsi,0nTK5BsAAAAJ,0009-0007-5145-1003
Nico Döttling,CISPA Helmholtz Center,de,https://cispa.saarland/people/nico.doettling,F8rmIoIAAAAJ,0000-0002-5914-7635
Nico Marcel Döttling,CISPA Helmholtz Center,de,https://cispa.saarland/people/nico.doettling,F8rmIoIAAAAJ,
Nils Ole Tippenhauer,CISPA Helmholtz Center,de,https://cispa.saarland/people/nils.tippenhauer,IptcAgQAAAAJ,0000-0001-8424-2602
Rayna Dimitrova,CISPA Helmholtz Center,de,https://www.sheffield.ac.uk/dcs/people/academic/rayna-dimitrova,HgCDGyQAAAAJ,0009-0006-2494-8690
Rebekka Burkholz,CISPA Helmholtz Center,de,https://sites.google.com/view/rebekkaburkholz/rebekka-burkholz,vkWBb2wAAAAJ,
Ruijie Meng,CISPA Helmholtz Center,de,https://mengrj.github.io,1uepKU4AAAAJ,0009-0008-4323-6271
Sajin Sasy,CISPA Helmholtz Center,de,https://ssasy.github.io,rrJTgX0AAAAJ,0000-0003-3447-1006
Sascha Fahl,CISPA Helmholtz Center,de,https://saschafahl.de,uiB3WGEAAAAJ,0000-0002-5644-3316
Sebastian Brandt 0002,CISPA Helmholtz Center,de,https://cispa.de/de/people/c01sebr,3MIPfVYAAAAJ,0000-0001-5393-6636
Sebastian U. Stich,CISPA Helmholtz Center,de,https://www.sstich.ch,8l-mDfQAAAAJ,
Sebastian Urban Stich,CISPA Helmholtz Center,de,https://www.sstich.ch,8l-mDfQAAAAJ,
Simon Oddershede Gregersen,CISPA Helmholtz Center,de,https://simongregersen.com,I-ltakEAAAAJ,0000-0001-6045-5232
Sven Bugiel,CISPA Helmholtz Center,de,https://trust.cispa.saarland/~bugiel,sPrlusAAAAAJ,0000-0002-7151-9614
Swen Jacobs,CISPA Helmholtz Center,de,https://www.react.uni-saarland.de/people/jacobs.html,pofIiPIAAAAJ,0000-0002-9051-4050
Thorsten Eisenhofer,CISPA Helmholtz Center,de,https://cispa.de/de/people/c01thei,PyPLDisAAAAJ,0000-0002-4706-260X
Willy Quach,CISPA Helmholtz Center,de,https://wquach.github.io,ARFd9ukAAAAJ,0000-0002-4309-6992
Wouter Lueks,CISPA Helmholtz Center,de,https://wouterlueks.nl,RY6zQiYAAAAJ,0000-0001-6441-8375
Xiao Zhang 0016,CISPA Helmholtz Center,de,https://xiao-zhang.net,L-lz7CUAAAAJ,0009-0008-1837-7670
Yang Zhang 0016,CISPA Helmholtz Center,de,https://yangzhangalmo.github.io,Xeb2888AAAAJ,0000-0003-3612-7348
Adrian Paschke,Freie Universitaet Berlin,de,https://www.mi.fu-berlin.de/en/inf/groups/ag-csw/Members/members/Paschke.html,D_ZARycAAAAJ,0000-0003-3156-9040
Agnès Voisard,Freie Universitaet Berlin,de,https://www.mi.fu-berlin.de/en/inf/groups/ag-db/members/Professors/voisard_agnes.html,NOSCHOLARPAGE,0009-0004-4896-7840
Claudia Müller 0001,Freie Universitaet Berlin,de,https://www.mi.fu-berlin.de/en/inf/groups/hcc/members/professor/mueller-birn.html,NOSCHOLARPAGE,
Claudia Müller-Birn,Freie Universitaet Berlin,de,https://www.mi.fu-berlin.de/en/inf/groups/hcc/members/professor/mueller-birn.html,NOSCHOLARPAGE,0000-0002-5143-1770
Daniel Goehring,Freie Universitaet Berlin,de,https://www.mi.fu-berlin.de/inf/groups/ag-ki/members/Professoren/Daniel_G__hring1.html,-yZse64AAAAJ,0000-0001-7819-7163
Daniel Göhring,Freie Universitaet Berlin,de,https://www.mi.fu-berlin.de/inf/groups/ag-ki/members/Professoren/Daniel_G__hring1.html,-yZse64AAAAJ,0000-0001-7819-7163
Frank Noé,Freie Universitaet Berlin,de,https://www.mi.fu-berlin.de/en/math/groups/ai4s/staff/noe/index.html,QGiLc_cAAAAJ,
Gerhard Wunder,Freie Universitaet Berlin,de,https://www.mi.fu-berlin.de/en/inf/groups/ag-comm/team-members/wunder.html,I9ifRZEAAAAJ,0009-0001-0850-8816
Günter Rote,Freie Universitaet Berlin,de,http://page.mi.fu-berlin.de/rote,NOSCHOLARPAGE,0000-0002-0351-5945
Jochen H. Schiller,Freie Universitaet Berlin,de,http://www.mi.fu-berlin.de/inf/groups/ag-tech/staff/0Current/schiller.html,bmbitrMAAAAJ,0000-0003-3893-4522
Katinka Wolter,Freie Universitaet Berlin,de,https://www.mi.fu-berlin.de/inf/groups/ag-tech/staff/0Current/wolter.html,JqtocLYAAAAJ,
Knut Reinert,Freie Universitaet Berlin,de,https://www.mi.fu-berlin.de/en/inf/groups/abi/members/Professors/reinert.html,XwG4wAcAAAAJ,0000-0003-3078-8129
Lutz Prechelt,Freie Universitaet Berlin,de,https://www.mi.fu-berlin.de/w/Main/LutzPrechelt,ZY2MP7QAAAAJ,0000-0001-5592-3521
Marian Margraf,Freie Universitaet Berlin,de,https://www.mi.fu-berlin.de/inf/groups/ag-idm/members/1_Professor_inn_en/Marian-Margraf/index.html,NOSCHOLARPAGE,0009-0005-8577-1318
Ralf Romeike,Freie Universitaet Berlin,de,https://www.mi.fu-berlin.de/en/inf/groups/ag-ddi/team/prof/index.html,NOSCHOLARPAGE,0000-0002-2941-4288
Tim Landgraf,Freie Universitaet Berlin,de,https://www.mi.fu-berlin.de/inf/groups/ag-ki/members/Professoren/Tim_Landgraf.html,ChX0opIAAAAJ,0000-0003-4951-5235
Volker Roth 0002,Freie Universitaet Berlin,de,https://www.mi.fu-berlin.de/inf/groups/ag-si/members/volkerroth.html,hbLmvo0AAAAJ,
Wolfgang Johann Heinrich Mulzer,Freie Universitaet Berlin,de,https://www.mi.fu-berlin.de/inf/groups/ag-ti/members/professoren/Mulzer_Wolfgang.html,NOSCHOLARPAGE,
Wolfgang Mulzer,Freie Universitaet Berlin,de,https://www.mi.fu-berlin.de/inf/groups/ag-ti/members/professoren/Mulzer_Wolfgang.html,NOSCHOLARPAGE,0000-0002-1948-5840
Birgitta König-Ries,Friedrich Schiller University Jena,de,http://fusion.cs.uni-jena.de/fusion,DbusQz8AAAAJ,0000-0002-2382-9722
Christian Komusiewicz,Friedrich Schiller University Jena,de,https://www.fmi.uni-jena.de/en/algo-en,FN8oDbkAAAAJ,0000-0003-0829-7032
Clemens Beckstein,Friedrich Schiller University Jena,de,http://ki.informatik.uni-jena.de,NOSCHOLARPAGE,
Eberhard Zehendner,Friedrich Schiller University Jena,de,http://www2.informatik.uni-jena.de/~nez,NOSCHOLARPAGE,
Ernst Günter Schukat-Talamazzini,Friedrich Schiller University Jena,de,http://www.minet.uni-jena.de/www/fakultaet/schukat,NOSCHOLARPAGE,
Günter Schukat,Friedrich Schiller University Jena,de,http://www.minet.uni-jena.de/www/fakultaet/schukat,NOSCHOLARPAGE,
Joachim Denzler,Friedrich Schiller University Jena,de,http://www.inf-cv.uni-jena.de/denzler.html,bhpi3vgAAAAJ,0000-0002-3193-3300
Joachim Giesen,Friedrich Schiller University Jena,de,http://theinf2.informatik.uni-jena.de,NOSCHOLARPAGE,0000-0001-6598-6833
Kai Lawonn,Friedrich Schiller University Jena,de,http://vis.uni-jena.de,fx7xoMYAAAAJ,0000-0002-1511-4022
Lutz Maicher,Friedrich Schiller University Jena,de,http://tt.uni-jena.de,8k5_f7cAAAAJ,0000-0002-9196-5742
Manja Marz,Friedrich Schiller University Jena,de,http://www.rna.uni-jena.de,NOSCHOLARPAGE,0000-0003-4783-8823
Martin Bücker,Friedrich Schiller University Jena,de,http://www2.informatik.uni-jena.de,NOSCHOLARPAGE,0000-0002-5210-0789
Martin Mundhenk,Friedrich Schiller University Jena,de,http://www.complexity.uni-jena.de,NOSCHOLARPAGE,
Martin Welsch,Friedrich Schiller University Jena,de,http://www.minet.uni-jena.de/www/fakultaet/welsch,NOSCHOLARPAGE,
Matthias Hagen,Friedrich Schiller University Jena,de,https://www.fmi.uni-jena.de/en/databases-and-information-systems,m-IM9n8AAAAJ,0000-0002-9733-2890
Olaf Beyersdorff,Friedrich Schiller University Jena,de,https://www.fmi.uni-jena.de/Beyersdorff.html,Zf7cjPkAAAAJ,0000-0002-2870-1648
Peter Dittrich,Friedrich Schiller University Jena,de,http://www.informatik.uni-jena.de/csb,XCULQaAAAAAJ,
Sebastian Böcker,Friedrich Schiller University Jena,de,http://bio.informatik.uni-jena.de,TWoYOQ4AAAAJ,0000-0002-9304-8091
Sina Zarrieß,Friedrich Schiller University Jena,de,https://sinazarriess.github.io,7OOP0iAAAAAJ,0000-0002-1384-1218
Wilhelm R. Rossak,Friedrich Schiller University Jena,de,http://swt.informatik.uni-jena.de,NOSCHOLARPAGE,
Alexander Mehler,Goethe University Frankfurt,de,https://www.texttechnologylab.org/team/alexander-mehler,crMx0oUAAAAJ,
Christian Chiarcos,Goethe University Frankfurt,de,http://acoli.informatik.uni-frankfurt.de,IYbsrxUAAAAJ,0000-0002-4428-029X
Detlef Krömker,Goethe University Frankfurt,de,https://www.gdv.informatik.uni-frankfurt.de/index.php?m=5&sm=2&c=%2Fteam%2Fdetails%2Fkroemker.php,NOSCHOLARPAGE,
Franziska Matthäus,Goethe University Frankfurt,de,https://www.fias.science/en/fellows/detail/matthaeus-franziska,9F2kmU4AAAAJ,0000-0001-6042-1366
Gemma Roig,Goethe University Frankfurt,de,http://www.cvai.cs.uni-frankfurt.de/team.html,6MjMhT4AAAAJ,0000-0002-6439-8076
Georg Schnitger,Goethe University Frankfurt,de,http://www.thi.informatik.uni-frankfurt.de/team/gschnitger,NOSCHOLARPAGE,
Haya Schulmann,Goethe University Frankfurt,de,https://sites.google.com/view/schulmann,IyGJlV8AAAAJ,0000-0002-8130-0472
Hendrik Drachsler,Goethe University Frankfurt,de,https://www.dipf.de/en/institute/staff/drachsler-hendrik,v1hwiRAAAAAJ,0000-0001-8407-5314
Ina Koch,Goethe University Frankfurt,de,https://www.bioinformatik.de/de/bioinformatik-in-deutschland/forschung/arbeitsgruppen/260-prof-dr-ina-koch-molecular-bioinformatics,cRzjNyIAAAAJ,0000-0002-3621-003X
Ivan Kisel,Goethe University Frankfurt,de,https://www.fias.science/de/computerwissenschaften/gruppen/ivan-kisel,NOSCHOLARPAGE,
Jochen Triesch,Goethe University Frankfurt,de,https://www.fias.science/de/fellows/detail/triesch-jochen,AgEdsugAAAAJ,0000-0001-8166-2441
Lars Hedrich,Goethe University Frankfurt,de,http://www.em.cs.uni-frankfurt.de/index.php?id=24&team=2&cHash=59b36835fc4a27500f786c83279706c0,NOSCHOLARPAGE,0000-0002-4189-5360
Manfred Schmidt-Schauß,Goethe University Frankfurt,de,http://www.ki.informatik.uni-frankfurt.de/persons/schauss/schauss.html,gKk8nIYAAAAJ,0000-0001-8809-7385
Matthias Kaschube,Goethe University Frankfurt,de,https://www.fias.science/en/neuroscience/research-groups/matthias-kaschube,ntad5VYAAAAJ,0000-0002-5145-7487
Mirjam Minor,Goethe University Frankfurt,de,http://www.wi.informatik.uni-frankfurt.de/index.php?Itemid=494&lang=de,NOSCHOLARPAGE,0000-0002-6592-631X
Nils Bertschinger,Goethe University Frankfurt,de,https://www.fias.science/en/systemic-risk/research-groups/nils-bertschinger,iLErbK0AAAAJ,
Roberto V. Zicari,Goethe University Frankfurt,de,http://www.bigdata.uni-frankfurt.de/people,NOSCHOLARPAGE,
Thomas Lippert,Goethe University Frankfurt,de,https://www.fz-juelich.de/SharedDocs/Personen/IAS/JSC/EN/staff/lippert_th.html,t3n_G-8AAAAJ,
Udo Kebschull,Goethe University Frankfurt,de,https://www.fias.science/de/fellows/detail/kebschull-udo,NOSCHOLARPAGE,
Ulrich Carsten Meyer,Goethe University Frankfurt,de,https://ae.cs.uni-frankfurt.de/staff/ulrich_meyer.html,VUrYB2cAAAAJ,
Ulrich Meyer 0001,Goethe University Frankfurt,de,https://ae.cs.uni-frankfurt.de/staff/ulrich_meyer.html,VUrYB2cAAAAJ,
Uwe Brinkschulte,Goethe University Frankfurt,de,https://www.es.cs.uni-frankfurt.de/team/Uwe_Brinkschulte/?id=9,NOSCHOLARPAGE,
Visvanathan Ramesh,Goethe University Frankfurt,de,https://uni-frankfurt.academia.edu/VisvanathanRamesh/CurriculumVitae,SS10xIgAAAAJ,
Volker Lindenstruth,Goethe University Frankfurt,de,https://www.fias.science/de/fellows/detail/lindenstruth-volker,-YJmULYAAAAJ,
Alexander Schlaefer,Hamburg University of Technology,de,https://mtec.et8.tuhh.de/staff/alexander-schlaefer.html,NOSCHOLARPAGE,0000-0001-9201-8854
Andreas Timm-Giel,Hamburg University of Technology,de,https://www.tuhh.de/et6/homepage.html,nR635b_VvW4C,0000-0002-5998-6113
Antoine Mottet,Hamburg University of Technology,de,https://amottet.github.io,8VzcrRQAAAAJ,0000-0002-3517-1745
Bernd-Christian Renner,Hamburg University of Technology,de,https://www.tuhh.de/smartport/team/christian-renner.html,ONg4SKoAAAAJ,0000-0002-6936-6444
Christian Renner,Hamburg University of Technology,de,https://www.tuhh.de/smartport/team/christian-renner.html,ONg4SKoAAAAJ,0000-0002-6936-6444
Dieter Gollmann,Hamburg University of Technology,de,https://www.tu-harburg.de/sva/staff/prof-dr-dieter-gollmann.html,NOSCHOLARPAGE,
Gerhard A. Bauch,Hamburg University of Technology,de,https://www.tuhh.de/nt/personen/professoren/gerhard-bauch/biographie.html,NOSCHOLARPAGE,
Gerhard Bauch 0001,Hamburg University of Technology,de,https://www.tuhh.de/nt/personen/professoren/gerhard-bauch/biographie.html,NOSCHOLARPAGE,
Görschwin Fey,Hamburg University of Technology,de,https://www.tuhh.de/es/ce/people/gfey,83MkY1wAAAAJ,0000-0001-6433-6265
Heiko Falk,Hamburg University of Technology,de,https://www.tuhh.de/es/esd/people/hfalk,T9vm2jEAAAAJ,0000-0003-1196-0122
Herbert Werner,Hamburg University of Technology,de,https://www.tuhh.de/ics/welcome.html,orTfGNMAAAAJ,
Karl-Heinz Zimmermann,Hamburg University of Technology,de,https://www.tuhh.de/es/aeg/people/khzimmermann.html,NOSCHOLARPAGE,0000-0002-0819-1345
Matthias Mnich,Hamburg University of Technology,de,https://www.tuhh.de/algo/homepage.html,5LvVxNYAAAAJ,0000-0002-4721-5354
Rolf-Rainer Grigat,Hamburg University of Technology,de,https://www.tuhh.de/bvs/institut/home.html,NOSCHOLARPAGE,
Sibylle Schupp,Hamburg University of Technology,de,https://www.tuhh.de/sts/institute/prof-dr-sibylle-schupp.html,NOSCHOLARPAGE,
Siegfried M. Rump,Hamburg University of Technology,de,http://www.ti3.tu-harburg.de/rump,NOSCHOLARPAGE,
Tobias Knopp,Hamburg University of Technology,de,https://www.tuhh.de/ibi/people/tobias-knopp-head-of-institute.html,5gpkOBAAAAAJ,
Ulf Kulau,Hamburg University of Technology,de,https://www3.tuhh.de/e-exk3/People/kulau,UgF32_EAAAAJ,0000-0002-1662-880X
Volker Turau,Hamburg University of Technology,de,https://www.ti5.tuhh.de/staff/turau,YuVtpLsAAAAJ,0000-0001-9964-8816
Andreas Polze,Hasso Plattner Institute,de,https://hpi.de/en/research/research-groups/operating-systems-and-middleware,NOSCHOLARPAGE,
Anja Lehmann,Hasso Plattner Institute,de,https://hpi.de/das-hpi/personen/professoren/prof-dr-anja-lehmann.html,zH3fwYoAAAAJ,0000-0002-2872-7899
Ariel Dora Stern,Hasso Plattner Institute,de,https://hpi.de/en/research/research-groups/digital-health-economics-policy,oGg44I8AAAAJ,0000-0002-3586-1041
Bernhard Y. Renard,Hasso Plattner Institute,de,https://hpi.de/en/research/research-groups/data-analytics-and-computational-statistics,YeSos8AAAAAJ,0000-0003-4589-9809
Bert Arnrich,Hasso Plattner Institute,de,https://hpi.de/en/research/research-groups/digital-health-connected-healthcare,GGtsB6kAAAAJ,0000-0001-8380-7667
Chitchanok Chuengsatiansup,Hasso Plattner Institute,de,https://www.chitchanok.org,hnOMMfcAAAAJ,0000-0002-0329-2681
Christian Doerr,Hasso Plattner Institute,de,https://hpi.de/en/research/research-groups/cybersecurity-enterprise-security,NOSCHOLARPAGE,0000-0002-7913-2692
Christoph Lippert,Hasso Plattner Institute,de,https://hpi.de/en/research/research-groups/digital-health-machine-learning,RVl8TE0AAAAJ,0000-0001-6363-2556
Christoph Meinel,Hasso Plattner Institute,de,https://hpi.de/en/meinel/chair.html,9WN2Ho0AAAAJ,0009-0009-9797-6483
Eleni Tzirita Zacharatou,Hasso Plattner Institute,de,https://hpi.de/en/research/research-groups/spatial-analytics-and-large-scale-data-processing,NOwiCrQAAAAJ,0000-0001-8873-5455
Erwin P. Bottinger,Hasso Plattner Institute,de,https://hpi.de/en/the-hpi/people/professors/prof-dr-ewin-boettinger.html,3dWDnnYAAAAJ,
Erwin P. Böttinger,Hasso Plattner Institute,de,https://hpi.de/en/the-hpi/people/professors/prof-dr-ewin-boettinger.html,3dWDnnYAAAAJ,
Falk Uebernickel,Hasso Plattner Institute,de,https://hpi.de/en/research/research-groups/design-thinking-and-innovation-research,n71-visAAAAJ,0000-0002-7078-8513
Felix Naumann,Hasso Plattner Institute,de,https://hpi.de/en/research/research-groups/information-systems,Pqf21y0AAAAJ,0000-0002-4483-1389
Georgios Kaissis,Hasso Plattner Institute,de,https://www.g-k.ai,g-WdmSgAAAAJ,0000-0001-8382-8062
Gerard de Melo,Hasso Plattner Institute,de,http://gerard.demelo.org,WCQXaGkAAAAJ,0000-0002-2930-2059
Gillian Bolsover,Hasso Plattner Institute,de,https://hpi.de/en/research/research-groups/digital-technology-governance-and-policy,MOitBtYAAAAJ,
Hasso Plattner,Hasso Plattner Institute,de,https://hpi.de/forschung/fachgebiete/enterprise-platform-and-integration-concepts.html,NOSCHOLARPAGE,
Holger Giese,Hasso Plattner Institute,de,https://hpi.de/en/research/research-groups/system-analysis-and-modeling,tbVxns0AAAAJ,
Holger Karl,Hasso Plattner Institute,de,https://hpi.de/en/research/research-groups/internet-technologies-and-softwarization,vjgKHWMAAAAJ,0000-0002-8343-6322
Jiska Classen,Hasso Plattner Institute,de,https://hpi.de/en/classen,quyyQIAAAAAJ,0009-0006-4341-2808
Jürgen Döllner,Hasso Plattner Institute,de,https://hpi.de/en/research/research-groups/computer-graphics-systems,NOSCHOLARPAGE,0000-0002-8981-8583
Mathias Weske,Hasso Plattner Institute,de,https://hpi.de/en/research/research-groups/business-process-technology,Qc4JtWcAAAAJ,
Matthias Weidlich 0001,Hasso Plattner Institute,de,https://hpi.de/en/research/research-groups/data-systems,P_9a7I0AAAAJ,0000-0003-3325-7227
