name,inst_id,independent,basis,own_group_url,supervises_doctoral_students,own_funding,evidence_url,retrieved,confidence,notes
Nina Grgic-Hlaca,de-mpi-sws,yes,"MPI-SWS's own structure text: Research Group Leaders lead their own independent group; institute has no departments",https://www.mpi-sws.org/people/nghlaca/,unknown,unknown,https://www.mpi-sws.org/about-us/,2026-08-06,high,"Same institute-wide structural basis as the other MPI-SWS Research Group Leaders in this file (see mpi-groups/units.csv). Own profile page is minimal (title, contact info only) and lists no PhD students or named grant."
Aditya Potukuchi,de-mpi-sws,yes,"MPI-SWS's own structure text: Research Group Leaders lead their own independent group; institute has no departments",https://www.mpi-sws.org/people/apotu/,unknown,unknown,https://www.mpi-sws.org/about-us/,2026-08-06,high,"Same institute-wide structural basis as the other MPI-SWS Research Group Leaders in this file (see mpi-groups/units.csv). Own profile page is minimal and lists no PhD students or named grant."
Goran Radanovic,de-mpi-sws,yes,"MPI-SWS's own structure text: Research Group Leaders lead their own independent group; institute has no departments",https://people.mpi-sws.org/~gradanovic,unknown,unknown,https://www.mpi-sws.org/about-us/,2026-08-06,high,"Same institute-wide structural basis (see mpi-groups/units.csv). His personal homepage (people.mpi-sws.org/~gradanovic) additionally states he 'lead[s] the multi-agent systems group,' consistent with independence, but lists no specific PhD students or named grant."
Sadegh Soudjani,de-mpi-sws,yes,"MPI-SWS's own structure text: Research Group Leaders lead their own independent group; institute has no departments",https://www.mpi-sws.org/people/sadegh/,unknown,unknown,https://www.mpi-sws.org/about-us/,2026-08-06,high,"Same institute-wide structural basis as the other MPI-SWS Research Group Leaders in this file (see mpi-groups/units.csv). Personal homepage link on his profile redirected to an external site not rendered this pass; no PhD students or named grant confirmed."
Mikhail Starchak,de-mpi-sws,yes,"MPI-SWS's own structure text: Research Group Leaders lead their own independent group; institute has no departments",https://www.mpi-sws.org/people/starchak/,unknown,unknown,https://www.mpi-sws.org/about-us/,2026-08-06,high,"Same institute-wide structural basis as the other MPI-SWS Research Group Leaders in this file (see mpi-groups/units.csv). Own profile page is minimal and lists no PhD students or named grant."
Jonas Geiping,de-tue-ai-center,yes,"Cross-references MPI-IS's named independent group (SEAL); has own doctoral students",https://is.mpg.de/seal,yes,unknown,https://is.mpg.de/seal,2026-08-06,high,"Tübingen AI Center 'Group Leader' title corresponds to his MPI-IS independent group SEAL (Safety- and Efficiency-aligned Learning), one of MPI-IS's 18 named independent research groups. SEAL's own people page lists Guinan Su (Ph.D. Student) and Xueyan Li (Doctoral Researcher) under him. tuebingen.ai/people additionally designates him an 'ELLIS Scholar.' No named grant/fellowship found on the group page itself."
Almut Sophia Koepke,de-tue-ai-center,yes,"Own junior research group with own PhD students and named BMFTR grant",https://akoepke.github.io/mumol.html,yes,yes,https://akoepke.github.io/mumol.html,2026-08-06,high,"Own group page: 'The junior research group aims at advancing multi-modal learning from sound, vision, and text for video understanding,' spanning TU Munich (MCML) and University of Tübingen (Tübingen AI Center). Lists PhD students Daniil Zverev, Jianzhe Liu, and Amirshayan Nasirimajd, plus a student assistant and MSc student. Funded by BMFTR (Bundesministerium für Forschung, Technologie und Raumfahrt) grant 01IS24060; also references the ELLIS PhD programme."
Shiwei Liu,de-tue-ai-center,yes,"Same underlying group as the de-mpi-is-tue row for this person: named independent MPI-IS group WEI",https://is.mpg.de/wei,unknown,unknown,https://tuebingen.ai/people,2026-08-06,high,"tuebingen.ai/people lists him as ELLIS Institute Tübingen 'Group Leader' with group webpage institute-tue.ellis.eu/wei, which is the same 'Wild, Efficient, and Innovative AI' group as his de-mpi-is-tue row in this file (is.mpg.de/wei) -- one person counted once at MPI-IS per units.csv, with this row covering his Tübingen AI Center listing specifically. See that row's evidence for group membership/funding details."
Antonio Orvieto,de-tue-ai-center,yes,"Leads one of MPI-IS's 18 named independent research groups (DMO)",https://is.mpg.de/dmo,no,unknown,https://is.mpg.de/dmo,2026-08-06,high,"Own group page identifies him as 'PI' of 'Deep Models and Optimization,' one of the 18 groups named on is.mpg.de/research; also ELLIS Institute Tübingen-affiliated per tuebingen.ai/people (personal site orvi.altervista.org). Page states 'We are not hiring new PhD students at the moment'; is.mpg.de/dmo/people lists 6 members (Ajroldi, Hergenroether, Misra, Movahedi, Okpekpe, Sarnthein) none tagged 'Doctoral Researcher' as of retrieval, so no current doctoral supervision confirmed. No named grant/fellowship found on the group page."
T. Konstantin Rusch,de-tue-ai-center,yes,"Leads a named independent group (CAMAIL) at ELLIS Institute Tübingen / MPI-IS",https://is.mpg.de/camail,unknown,unknown,https://is.mpg.de/camail,2026-08-06,high,"Own page: CAMAIL is 'a research group at the ELLIS Institute Tübingen and the Max Planck Institute for Intelligent Systems headed by T. Konstantin Rusch' -- one of MPI-IS's 18 named independent groups. is.mpg.de/camail/people lists three members (Armstrong, Nazari, Sreeram) with no role titles shown, so doctoral-student status is unconfirmed. No named grant/fellowship found on the group page."
Samira Samadi,de-tue-ai-center,yes,"Leads one of MPI-IS's 18 named independent research groups (HML); has own doctoral students",https://is.mpg.de/hml,yes,unknown,https://is.mpg.de/hml,2026-08-06,high,"Own page: 'The Human Aspects of Machine Learning Group is lead by Samira Samadi' -- one of MPI-IS's 18 named independent groups. is.mpg.de/hml/people lists Omri Ben-Dov and Tom Sühr as 'Doctoral Researcher' under her. No named grant/fellowship found on the group page."
